"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2025","19,649.95","19,215.32","19,862.54","19,141.41","10.25B","0.11%"
"01/01/2025","19,627.44","19,403.90","20,118.61","18,831.91","27.48B","1.64%"
"12/01/2024","19,310.79","19,255.43","20,204.58","19,168.38","29.49B","0.48%"
"11/01/2024","19,218.17","18,189.67","19,366.07","18,112.83","25.04B","6.21%"
"10/01/2024","18,095.15","18,154.94","18,785.49","17,767.79","23.32B","-0.52%"
"09/01/2024","18,189.17","17,585.45","18,327.34","16,668.57","23.21B","2.68%"
"08/01/2024","17,713.62","17,647.03","18,017.69","15,708.54","26.77B","0.65%"
"07/01/2024","17,599.40","17,773.90","18,671.07","17,015.38","23.24B","-0.75%"
"06/01/2024","17,732.60","16,865.70","18,035.00","16,646.43","24.96B","5.96%"
"05/01/2024","16,735.01","15,646.09","17,032.65","15,557.64","25.03B","6.88%"
"04/01/2024","15,657.82","16,397.05","16,490.65","15,222.78","21.21B","-4.41%"
"03/01/2024","16,379.46","16,109.83","16,538.86","15,862.63","23.15B","1.79%"
"02/01/2024","16,091.92","15,254.02","16,134.22","15,208.88","21.72B","6.12%"
"01/01/2024","15,164.01","14,873.70","15,630.58","14,477.57","21.22B","1.02%"
"12/01/2023","15,011.35","14,181.35","15,150.07","14,058.52","23.68B","5.52%"
"11/01/2023","14,226.22","12,887.06","14,423.22","12,875.20","19.77B","10.70%"
"10/01/2023","12,851.24","13,217.99","13,714.14","12,543.86","19.19B","-2.78%"
"09/01/2023","13,219.32","14,129.96","14,149.62","12,963.16","19.74B","-5.81%"
"08/01/2023","14,034.97","14,274.93","14,309.21","13,161.76","21.07B","-2.17%"
"07/01/2023","14,346.02","13,798.70","14,446.55","13,567.25","19.25B","4.05%"
"06/01/2023","13,787.92","12,944.46","13,864.06","12,903.63","25.04B","6.59%"
"05/01/2023","12,935.28","12,210.05","13,154.29","11,925.37","21.61B","5.80%"
"04/01/2023","12,226.58","12,146.09","12,245.43","11,798.77","17.28B","0.04%"
