"","t","month_position","coverage_interp"
"1",1,0.229990800367985,0.407
"2",2,0.459981600735971,0.407
"3",3,0.689972401103956,0.407
"4",4,0.919963201471941,0.407
"5",5,1.14995400183993,0.409099356025759
"6",6,1.37994480220791,0.412319227230911
"7",7,1.6099356025759,0.415539098436063
"8",8,1.83992640294388,0.418758969641214
"9",9,2.06991720331187,0.421559337626495
"10",10,2.29990800367985,0.423399264029439
"11",11,2.52989880404784,0.425239190432383
"12",12,2.75988960441582,0.427079116835327
"13",13,2.98988040478381,0.42891904323827
"14",14,3.21987120515179,0.430099356025759
"15",15,3.44986200551978,0.431249310027599
"16",16,3.67985280588776,0.432399264029439
"17",17,3.90984360625575,0.433549218031279
"18",18,4.13983440662374,0.434559337626495
"19",19,4.36982520699172,0.435479300827967
"20",20,4.59981600735971,0.436399264029439
"21",21,4.82980680772769,0.437319227230911
"22",22,5.05979760809568,0.411808647654094
"23",23,5.28978840846366,0.311072677092916
"24",24,5.51977920883165,0.210336706531739
"25",25,5.74977000919963,0.109600735970561
"26",26,5.97976080956762,0.00886476540938369
"27",27,6.2097516099356,0.000839006439742413
"28",28,6.43974241030359,0.00175896964121435
"29",29,6.66973321067157,0.00267893284268629
"30",30,6.89972401103956,0.00359889604415823
"31",31,7.12971481140754,0.0060754369825207
"32",32,7.35970561177553,0.00975528978840846
"33",33,7.58969641214351,0.0134351425942962
"34",34,7.8196872125115,0.017114995400184
"35",35,8.04967801287948,0.023179392824287
"36",36,8.27966881324747,0.0378988040478381
"37",37,8.50965961361546,0.0526182152713892
"38",38,8.73965041398344,0.0673376264949402
"39",39,8.96964121435143,0.0820570377184913
"40",40,9.19963201471941,0.119334866605336
"41",41,9.4296228150874,0.160043238270469
"42",42,9.65961361545538,0.200751609935603
"43",43,9.88960441582337,0.241459981600736
"44",44,10.1195952161914,0.272241950321987
"45",45,10.3495860165593,0.293861085556578
"46",46,10.5795768169273,0.315480220791168
"47",47,10.8095676172953,0.337099356025759
"48",48,11.0395584176633,0.356305427782889
"49",49,11.2695492180313,0.363895124195032
"50",50,11.4995400183993,0.371484820607176
"51",51,11.7295308187673,0.379074517019319
"52",52,11.9595216191352,0.386664213431463
"53",53,12.1895124195032,0.393685372585097
"54",54,12.4195032198712,0.400585096596136
"55",55,12.6494940202392,0.407484820607176
"56",56,12.8794848206072,0.414384544618215
"57",57,13.1094756209752,0.419313707451702
"58",58,13.3394664213431,0.422073597056118
"59",59,13.5694572217111,0.424833486660534
"60",60,13.7994480220791,0.427593376264949
"61",61,14.0294388224471,0.430235510579577
"62",62,14.2594296228151,0.432075436982521
"63",63,14.4894204231831,0.433915363385465
"64",64,14.7194112235511,0.435755289788408
"65",65,14.949402023919,0.437595216191352
"66",66,15.179392824287,0.438896964121435
"67",67,15.409383624655,0.440046918123275
"68",68,15.639374425023,0.441196872125115
"69",69,15.869365225391,0.442346826126955
"70",70,16.099356025759,0.443298068077277
"71",71,16.329346826127,0.443988040478381
"72",72,16.5593376264949,0.444678012879485
"73",73,16.7893284268629,0.445367985280589
"74",74,17.0193192272309,0.437383624655013
"75",75,17.2493100275989,0.334807727690893
"76",76,17.4793008279669,0.232231830726771
"77",77,17.7092916283349,0.129655933762649
"78",78,17.9392824287029,0.0270800367985275
"79",79,18.1692732290708,0.000677092916283357
"80",80,18.3992640294388,0.00159705611775529
"81",81,18.6292548298068,0.00251701931922723
"82",82,18.8592456301748,0.00343698252069918
"83",83,19.0892364305428,0.00551701931922726
"84",84,19.3192272309108,0.00942686292548302
"85",85,19.5492180312787,0.0133367065317387
"86",86,19.7792088316467,0.0172465501379945
"87",87,20.0091996320147,0.0216715731370746
"88",88,20.2391904323827,0.0384609015639376
"89",89,20.4691812327507,0.0552502299908005
"90",90,20.6991720331187,0.0720395584176633
"91",91,20.9291628334867,0.0888288868445262
"92",92,21.1591536338546,0.122011039558418
"93",93,21.3891444342226,0.162489420423183
"94",94,21.6191352345906,0.202967801287948
"95",95,21.8491260349586,0.243446182152714
"96",96,22.0791168353266,0.277199632014719
"97",97,22.3091076356946,0.298128794848206
"98",98,22.5390984360626,0.319057957681693
"99",99,22.7690892364305,0.339987120515179
"100",100,22.9990800367985,0.360916283348666
"101",101,23.2290708371665,0.368559337626495
"102",102,23.4590616375345,0.376149034038638
"103",103,23.6890524379025,0.383738730450782
"104",104,23.9190432382705,0.391328426862925
"105",105,24.1490340386385,0.392211591536338
"106",106,24.3790248390064,0.389451701931923
"107",107,24.6090156393744,0.386691812327507
"108",108,24.8390064397424,0.383931922723091
"109",109,25.0689972401104,0.382965961361546
"110",110,25.2989880404784,0.386185832566697
"111",111,25.5289788408464,0.389405703771849
"112",112,25.7589696412144,0.392625574977001
"113",113,25.9889604415823,0.395845446182153
"114",114,26.2189512419503,0.397313707451702
"115",115,26.4489420423183,0.39869365225391
"116",116,26.6789328426863,0.400073597056118
"117",117,26.9089236430543,0.401453541858326
"118",118,27.1389144434223,0.402972401103956
"119",119,27.3689052437902,0.404582336706532
"120",120,27.5988960441582,0.406192272309108
"121",121,27.8288868445262,0.407802207911684
"122",122,28.0588776448942,0.409117755289788
"123",123,28.2888684452622,0.409577736890524
"124",124,28.5188592456302,0.41003771849126
"125",125,28.7488500459982,0.410497700091996
"126",126,28.9788408463661,0.410957681692732
"127",127,29.2088316467341,0.325170193192271
"128",128,29.4388224471021,0.230643974241031
"129",129,29.6688132474701,0.136117755289788
"130",130,29.8988040478381,0.0415915363385461
"131",131,30.1287948482061,0.000515179392824294
"132",132,30.3587856485741,0.00143514259429624
