Week,Week Ending,Lab-Confirmed Influenza Cases
49,"Dec 12, 2015",1
50,"Dec 19, 2015",0
51,"Dec 26, 2015",2
52,"Jan 02, 2016",0
1,"Jan 09, 2016",2
2,"Jan 16, 2016",2
3,"Jan 23, 2016",1
4,"Jan 30, 2016",1
5,"Feb 06, 2016",12
6,"Feb 13, 2016",8
7,"Feb 20, 2016",10
8,"Feb 27, 2016",19
9,"Mar 05, 2016",42
10,"Mar 12, 2016",46
11,"Mar 19, 2016",30
12,"Mar 26, 2016",30
13,"Apr 02, 2016",34
14,"Apr 09, 2016",38
15,"Apr 16, 2016",17
16,"Apr 23, 2016",5
17,"Apr 30, 2016",6
18,"May 07, 2016",1
19,"May 14, 2016",0
20,"May 21, 2016",0
21,"May 28, 2016",0
22,"Jun 04, 2016",0
23,"Jun 11, 2016",0
24,"Jun 18, 2016",0
25,"Jun 25, 2016",0
26,"Jul 02, 2016",0
27,"Jul 09, 2016",0
28,"Jul 16, 2016",0
29,"Jul 23, 2016",0
30,"Jul 30, 2016",0
31,"Aug 06, 2016",0
32,"Aug 13, 2016",1
33,"Aug 20, 2016",0
34,"Aug 27, 2016",0
35,"Sep 03, 2016",0
36,"Sep 10, 2016",0
37,"Sep 17, 2016",0
38,"Sep 24, 2016",0
39,"Oct 01, 2016",0
40,"Oct 08, 2016",0
41,"Oct 15, 2016",1
42,"Oct 22, 2016",0
43,"Oct 29, 2016",1
44,"Nov 05, 2016",2
45,"Nov 12, 2016",1
46,"Nov 19, 2016",0
47,"Nov 26, 2016",3
48,"Dec 03, 2016",5
49,"Dec 10, 2016",6
50,"Dec 17, 2016",1
51,"Dec 24, 2016",3
52,"Dec 31, 2016",5
1,"Jan 07, 2017",22
2,"Jan 14, 2017",32
3,"Jan 21, 2017",14
4,"Jan 28, 2017",42
5,"Feb 04, 2017",31
6,"Feb 11, 2017",23
7,"Feb 18, 2017",34
8,"Feb 25, 2017",25
9,"Mar 04, 2017",20
10,"Mar 11, 2017",28
11,"Mar 18, 2017",30
12,"Mar 25, 2017",19
13,"Apr 01, 2017",33
14,"Apr 08, 2017",23
15,"Apr 15, 2017",14
16,"Apr 22, 2017",8
17,"Apr 29, 2017",5
18,"May 06, 2017",5
19,"May 13, 2017",1
20,"May 20, 2017",1
21,"May 27, 2017",1
22,"Jun 03, 2017",2
23,"Jun 10, 2017",0
24,"Jun 17, 2017",0
25,"Jun 24, 2017",0
26,"Jul 01, 2017",1
27,"Jul 08, 2017",0
28,"Jul 15, 2017",0
29,"Jul 22, 2017",0
30,"Jul 29, 2017",0
31,"Aug 05, 2017",0
32,"Aug 12, 2017",0
33,"Aug 19, 2017",0
34,"Aug 26, 2017",0
35,"Sep 02, 2017",0
36,"Sep 09, 2017",0
37,"Sep 16, 2017",0
38,"Sep 23, 2017",0
39,"Sep 30, 2017",0
40,"Oct 07, 2017",2
41,"Oct 14, 2017",0
42,"Oct 21, 2017",0
43,"Oct 28, 2017",2
44,"Nov 04, 2017",1
45,"Nov 11, 2017",1
46,"Nov 18, 2017",0
47,"Nov 25, 2017",1
48,"Dec 02, 2017",4
49,"Dec 09, 2017",0
50,"Dec 16, 2017",9
51,"Dec 23, 2017",15
52,"Dec 30, 2017",17
1,"Jan 06, 2018",44
2,"Jan 13, 2018",65
3,"Jan 20, 2018",44
4,"Jan 27, 2018",51
5,"Feb 03, 2018",54
6,"Feb 10, 2018",53
7,"Feb 17, 2018",36
8,"Feb 24, 2018",47
9,"Mar 03, 2018",63
10,"Mar 10, 2018",69
11,"Mar 17, 2018",46
12,"Mar 24, 2018",55
13,"Mar 31, 2018",53
14,"Apr 07, 2018",25
15,"Apr 14, 2018",12
16,"Apr 21, 2018",22
17,"Apr 28, 2018",22
18,"May 05, 2018",11
19,"May 12, 2018",11
20,"May 19, 2018",4
