...1,b1,b2,b3,mu_EI,mu_IR,rho,mu_RS,eta,N,k,loglik,loglik.se
35,4.892637130491,132.317852806549,0.00349808994941169,2.05623444314534,0.0210295551402584,0.673204596667331,0.005,0.0256833532341513,34530000,10,-1617.40193090806,0.0409401934344308
359,3.77372179748804,261.778014010646,0.00122725825928719,5.40556949015382,0.0144727000952459,0.820627271319314,0.005,0.0399762071653816,34530000,10,-1617.54876291119,0.0291132876425065
185,3.11725553207649,223.426834417494,0.00420183810925023,1.98598553593548,0.0266602712806455,0.448417167110442,0.005,0.0557255109000217,34530000,10,-1617.87695733093,0.01604444491505
11,5.30214570169283,70.205121693522,0.0488870763054984,0.0373079471093312,0.0229588418863812,0.369165321036817,0.005,0.549033178862973,34530000,10,-1618.23133717693,0.0347061827320051
393,1.558284218666,68.6557573187896,8.735252086764e-4,1.6934959978919,0.0415597107553008,0.208407306182398,0.005,0.161735733534622,34530000,10,-1618.55155101366,0.0258637017582036
397,5.09534667042263,168.702219205976,0.00674293659448544,3.23753366375615,0.0273996216279513,0.587694447662883,0.005,0.0186848998404899,34530000,10,-1618.60692449372,0.0316877837945075
351,2.38219409100104,41.7551535857844,0.00206028448010481,1.72485235387779,0.0315635039411948,0.316324704492704,0.005,0.0893210818952145,34530000,10,-1618.81156650447,0.0195318253054396
351,2.38219409100104,41.7551535857844,0.00206028448010481,1.72485235387779,0.0315635039411948,0.316324704492704,0.005,0.0893210818952145,34530000,10,-1618.81156650447,0.0195318253054396
270,1.43682072009254,47.2587539021362,0.0024322836600268,5.06487399295927,0.0370064061597263,0.227091972806337,0.005,0.152438875720936,34530000,10,-1618.95477501493,0.0339008537104397
197,7.3242868249799,638.716691922626,0.00926040307578186,0.612271063634757,0.0189975708973866,0.791731260667186,0.005,0.0195034808926627,34530000,10,-1619.05748021704,0.06312438434659
95,2.31969191257205,43.287190312864,0.00464781319446343,8.84585573030626,0.0157187716621085,0.621658829226339,0.005,0.0849116384908416,34530000,10,-1619.44118120522,0.0192431537037848
170,3.21679668074923,37.0394044949513,0.00220211720475238,2.30851939133139,0.0103852309795825,0.895127140624897,0.005,0.0589122312696329,34530000,10,-1619.57856062617,0.0598217188149421
346,2.57870838844239,167.444239790478,0.00814807090421965,4.38215007960611,0.011490189932758,0.781256513236841,0.005,0.0773079795128834,34530000,10,-1619.72881631014,0.047022348953387
230,1.908833737462,211.651756451391,0.00378377101853072,3.2934591660906,0.0189631040343088,0.427368416210626,0.005,0.11709739400181,34530000,10,-1620.36931685638,0.0223185175720637
313,2.80486155627592,67.2324991720343,0.0314297655325334,2.05417764166678,0.0160882607738862,0.603736419834828,0.005,0.0740869912366634,34530000,10,-1620.79133283104,0.0344103502707174
151,2.08529075896807,40.1964455719341,0.00703476174450952,1.9501543084053,0.0192367280224727,0.429359595721324,0.005,0.112643678531016,34530000,10,-1620.93299634134,0.0332404523567196
24,2.09786486375973,118.831271157574,0.00778632423644573,2.58955289313319,0.0158538930962849,0.496151148093826,0.005,0.110237888219993,34530000,10,-1621.34714713057,0.0349702385501719
189,1.80322591210382,39.6551930564231,0.0101168355167143,6.1221344171648,0.0118627575905085,0.615414035663958,0.005,0.127819314969139,34530000,10,-1622.03400076218,0.0429180058892619
117,1.7553232710484,270.957705872944,0.00442236698540285,3.00411599281417,0.00734831981556983,0.909942943951068,0.005,0.146042254563949,34530000,10,-1622.23345424991,0.0820454936311087
283,1.3004025179832,72.1224055175261,0.0044220451397352,4.21326990304284,0.0271688765872744,0.25905283044031,0.005,0.189750492349776,34530000,10,-1622.30775744651,0.0316380337921237
199,1.335604443886,208.397353567862,0.00213199763390259,3.50680783492942,0.0256276282717012,0.280126755847059,0.005,0.18333136181281,34530000,10,-1622.70659716668,0.0330995152674637
276,1.54897552337142,30.4792644947929,0.0112024747702797,8.79688900371783,0.00969405670548384,0.681378000474784,0.005,0.155141338085521,34530000,10,-1623.16275950762,0.0561085238916815
180,3.94539692184314,641.040320809812,0.106085429096301,4.05476604932949,0.0220455151077169,0.621136283448311,0.005,0.0327141667306046,34530000,10,-1623.67531355693,0.0458244674367318
271,2.41238935107099,128.475213765752,0.0655600798237029,1.9061758662606,0.0131016046243637,0.617426244404607,0.005,0.0945312979534724,34530000,10,-1624.53077278982,0.0474268977592599
392,1.12594327908738,39.1236542548491,8.161815422902e-4,4.8751269673136,0.0206224891504617,0.29919283496254,0.005,0.229531647238327,34530000,10,-1625.06222825605,0.0317398098361473
223,1.22954118525985,798.269921522195,0.00415992682406846,3.16530598917053,0.00971982457962134,0.558849478704409,0.005,0.227583670195277,34530000,10,-1626.31667447691,0.0543304968799433
328,1.75154587440884,19.9431755653671,0.0437784482690082,3.49207006826433,0.00754020838140249,0.860305278251757,0.005,0.149099282402908,34530000,10,-1626.51146057773,0.0445729288899085
400,1.6150158232129601,16.8146408594051,0.0034791529127849,1.01573519161069,0.00909820828916168,0.632290832674197,0.005,0.202494077047615,34530000,10,-1626.95066332549,0.0404977956575072
17,1.09187380961245,11.1248110987017,0.00620001033675695,2.83464047516535,0.011079805099451,0.478912395223743,0.005,0.267645532858448,34530000,10,-1628.41983779167,0.0513738277340521
50,1.3568883216277,13.6900289040585,0.039704548904401,2.01667843713863,0.010934144070259,0.572579966694423,0.005,0.217390005005161,34530000,10,-1628.76192617039,0.0560222173323056
205,0.926035884019552,34.751473052654,0.0093479920682292,3.95699948971209,0.0187531721541319,0.304882659283903,0.005,0.309648079721445,34530000,10,-1629.63459500672,0.0282888859629798
61,1.05318227082482,13.6944121981612,0.0347531212192091,6.36343744368246,0.0123183531933752,0.442612551236885,0.005,0.258724759093361,34530000,10,-1629.82136034598,0.0402344324601177
341,0.847471791828577,3.4855127095064,0.00563583031426848,6.9621288480945,0.00617666676695932,0.707745414801031,0.005,0.346508559029999,34530000,10,-1629.82910057455,0.0959326664013419
128,1.1810947631377,9.26222681079983,0.042934621090069,3.0640851594541,0.0141445486365271,0.41809107130552,0.005,0.231756260726885,34530000,10,-1630.43148734665,0.0492459160835902
361,1.6278522788119,68.0093836010761,9.57696098745832,1.74741766792302,0.353837101124407,0.0691571508426138,0.005,0.298093786867426,34530000,10,-1630.62605463636,0.00741858689251662
40,0.83129014407954,6597.49086330777,0.00289709316950646,4.24861440460197,0.0160404308553908,0.303950425233062,0.005,0.356092656668943,34530000,10,-1630.91514171914,0.0472153091230383
327,1.06323647612041,187.895684007348,0.0129146842780028,1.47538974607169,0.00610973949219469,0.710254664602919,0.005,0.318397270126458,34530000,10,-1631.21980769455,0.0881488221585282
144,1.60975604501001,15.4104874361082,6.56934904193133,4.15904087810946,0.339469574893814,0.0685996999731619,0.005,0.257718589620979,34530000,10,-1632.47245653848,0.010153003397585
103,0.780233868408247,202.101238825169,0.0418902902755195,6.77698996550864,0.00678613373800008,0.698393617555718,0.005,0.388253293272579,34530000,10,-1632.48957543553,0.0405534655153893
76,1.69140707017952,35.8469005857508,7.82238972370614,1.83991862352534,0.357204139501494,0.0667375441707723,0.005,0.270377597917163,34530000,10,-1632.89538645601,0.0207449199848353
292,0.757461097356068,5.29393506721158,0.0330187503369558,3.88567095819379,0.0062614552783956,0.668608959328255,0.005,0.416516895173434,34530000,10,-1633.65674420969,0.0704383845999189
194,1.91278607285416,45.7714486155561,10.4634071713987,1.46577711317262,0.351682512210715,0.0744378407756536,0.005,0.23715464304463,34530000,10,-1633.85204945766,0.0199545237966289
255,0.68508148292712,513.366977943536,0.0035732771995131,5.67141498770014,0.00713982844702341,0.522639300436733,0.005,0.458554862053032,34530000,10,-1634.32390587651,0.047900502072064
273,1.58101127584605,347.892701588457,8.60899044788136,2.6957271807996,0.336600198477728,0.0737514987201704,0.005,0.276230202672463,34530000,10,-1634.33614741117,0.0155556994094253
250,0.550011126479901,2.79871404153384,0.00881935262914072,6.38053932166933,0.00557677420962173,0.682451474412842,0.005,0.589082839646228,34530000,10,-1636.35401140883,0.0842796832940677
124,1.71474400858177,1550.21484006352,10.2990645195999,3.10567800618336,0.324629436599551,0.0740347564884777,0.005,0.228179664829341,34530000,10,-1637.00106438456,0.0316082284364793
212,0.940564765130488,74.4395375656767,12.6497707863285,5.35303933809517,0.00514728748096436,0.910970934217395,0.005,0.31442334155282,34530000,10,-1637.10061124187,0.0827814895943856
22,1.20620496670958,24.0097324557653,17.1868926489214,4.27894590207031,0.0060192409459458,0.898859414186786,0.005,0.232057415578451,34530000,10,-1637.39446088315,0.0353857137168508
73,2.36458314021434,57.57822003845,13.8753507041389,1.46211680640394,0.371866817191466,0.0882940770971468,0.005,0.183684471267366,34530000,10,-1637.90859231465,0.00742311278756399
164,0.435634952219919,37.096149412322,8.014777988609e-4,4.47841562358198,0.0280518365828832,0.144823457095124,0.005,0.785635276826965,34530000,10,-1638.17376967219,0.0368022694728311
298,2.53394915736644,45.3492559563744,98.9973114838372,3.08464952228915,0.00881529609426661,0.924711801797226,0.005,0.0866628615179624,34530000,10,-1638.35072401609,0.0452705866934978
59,1.65475562445282,38.5547086144111,136.726422442329,2.12780406373299,0.00767134401309378,0.83008305340381106,0.005,0.168298064650099,34530000,10,-1638.48155027251,0.0431859302804894
234,2.32515489267419,14.1184005773881,185.233831483904,1.1268169358872,0.00778510783991113,0.907496828808473,0.005,0.122668086348257,34530000,10,-1638.83451916831,0.0445680910981042
161,1.75383030113159,35.8517542614273,158.548990456945,3.22006368674594,0.00835867227488139,0.797373039155718,0.005,0.145522932763397,34530000,10,-1638.91117354064,0.0623305813287668
315,0.638544094544655,6.89358450271955,0.0228240738876003,2.38032182288885,0.00872097682294697,0.496844423156023,0.005,0.535307814599025,34530000,10,-1638.96477339651,0.0561900258977325
30,0.938477241149732,15.2093999505859,103.301287010601,1.43189892331511,0.00575460241998261,0.847133000796036,0.005,0.379192084417416,34530000,10,-1639.06518281254,0.0573791523401143
389,0.670233851227627,41.1985941114991,673.273764485484,2.49674575829921,0.00451310919368155,0.858643255563106,0.005,0.517831092128363,34530000,10,-1639.22170893956,0.0674678016368826
