"","X","b1","b2","b3","mu_EI","mu_IR","rho","mu_RS","eta","N","k","loglik","loglik.se"
"1",310,15.522394503876,281.252566280544,4.4390231476517e-05,0.143676451337903,3.46221786231687,0.056537290251237,0.0218245840992589,0.366957646581189,34530000,10,-1534.65529659372,0.00465780329040019
"2",108,0.862733985691593,342.971080615813,5.67239897461759e-05,14.0792064055181,0.136783601058579,0.074372969977333,0.0185563708318214,0.345312545209122,34530000,10,-1543.84269764861,0.0157936368199468
"3",35,4.43737039399853,2026.12016521005,0.000200893796507766,8.95020497591395,0.0213370472266616,0.673204596667331,0.00346721507741166,0.0267263520649837,34530000,10,-1617.16423337647,0.0382117329280788
"4",359,3.93200678794927,16.1537631870432,0.00199544844866869,3.41199122812369,0.0125530267925372,0.820627271319314,0.00386847871818135,0.0371613038917605,34530000,10,-1619.71768839535,0.0645254630231197
"5",185,2.6021424208849,97.0182395019288,0.000795830870319025,15.1904718470092,0.0244798856751206,0.448417167110442,0.00486285215733228,0.0617397635377805,34530000,10,-1617.36735785222,0.0345511887667722
"6",11,4.96680437240915,231.250169565474,0.0138634176669661,0.0385949884127154,0.0228474579945815,0.369165321036817,0.00269909204355843,0.57042758566731,34530000,10,-1617.43141987141,0.0227236289272129
"7",393,1.43567321797503,17.7836384806403,0.000546807294815586,5.70389081262301,0.0374151131631569,0.208407306182398,0.00874461824853631,0.152590523575289,34530000,10,-1618.72089759917,0.0236547271330973
"8",397,4.56419828505934,1802.81716221025,0.00470614184775352,9.27351677802088,0.0256922971494669,0.587694447662883,0.00370972869990623,0.022544494513076,34530000,10,-1617.86851729271,0.0291827804673779
"9",351,2.37593507007101,36.9932189368819,0.000688564363962569,5.51930504658672,0.0337845123370969,0.316324704492704,0.00584730084043598,0.0713899262475522,34530000,10,-1617.98450032972,0.0326655841208971
"10",270,1.49383181349609,45.4886087666485,0.00464971828932677,3.78129386514919,0.0363500520213177,0.227091972806337,0.00780000218662547,0.153782744345485,34530000,10,-1619.33794921187,0.0319722329784093
"11",197,11.5432352100098,185.680325845744,0.0103312339964382,0.266218053415921,0.0186520884792673,0.791731260667186,0.00338227190051894,0.017864083948041,34530000,10,-1619.92962266249,0.033409708958283
"12",95,2.34731561476808,1264.47650784049,0.000355509538976067,10.0520373573705,0.014521991629522,0.621658829226339,0.0042910058535595,0.0828318854854028,34530000,10,-1618.84943829496,0.0318897759773632
"13",170,4.36496672231895,352.05597540815,0.0113446168350719,0.792337106564172,0.0113567785809394,0.895127140624897,0.00366481074238563,0.0536240013680647,34530000,10,-1620.34783350923,0.0538410713675453
"14",346,3.95023642777256,97.3188199989928,0.0383081677317566,0.562732378181786,0.011678919606752,0.781256513236841,0.00399184383940374,0.0745703824279589,34530000,10,-1623.27474553009,0.0642399229958846
"15",230,1.89189891911096,654.174088124635,0.00266039201566531,2.868496355066,0.0181212959013962,0.427368416210626,0.00559561487534199,0.120558963227065,34530000,10,-1620.64479824825,0.0282804850676335
"16",313,2.59077783049394,50.8701076037705,0.00356972123921148,3882.6754837566,0.0156509719911183,0.603736419834828,0.00432741452187444,0.0675482554592554,34530000,10,-1618.47108951253,0.0296863260745072
"17",151,2.2901750572939,39.8691238367259,0.00826173176465981,7.56599613223421,0.021974972009122,0.429359595721324,0.00495785335442277,0.0823641070608594,34530000,10,-1619.17072006806,0.035718980164825
