"","FlightDate","n_dep_delay","n_arr_delay","n_delay"
"166",2024-06-14,9789,9550,19339
"167",2024-06-15,8250,7073,15323
"168",2024-06-16,8912,8041,16953
"169",2024-06-17,9001,8539,17540
"170",2024-06-18,7514,7076,14590
"171",2024-06-19,7801,7163,14964
"172",2024-06-20,7861,7639,15500
"173",2024-06-21,8794,8258,17052
"174",2024-06-22,8125,7214,15339
"175",2024-06-23,10241,9476,19717
"176",2024-06-24,10787,9870,20657
"177",2024-06-25,9682,9088,18770
"178",2024-06-26,9421,9506,18927
"179",2024-06-27,10030,9548,19578
"180",2024-06-28,9363,8847,18210
"181",2024-06-29,8466,7964,16430
"182",2024-06-30,9393,9368,18761
"183",2024-07-01,8805,7842,16647
"184",2024-07-02,6921,6123,13044
"185",2024-07-03,7129,6426,13555
"186",2024-07-04,4108,3668,7776
"187",2024-07-05,6477,6849,13326
"188",2024-07-06,8318,7839,16157
"189",2024-07-07,9789,9611,19400
"190",2024-07-08,9539,8979,18518
"191",2024-07-09,8891,8509,17400
"192",2024-07-10,8621,8555,17176
"193",2024-07-11,9418,8951,18369
"194",2024-07-12,10855,11183,22038
"195",2024-07-13,8546,8145,16691
"196",2024-07-14,10744,10397,21141
"197",2024-07-15,10871,10363,21234
"198",2024-07-16,9340,9262,18602
"199",2024-07-17,9353,9850,19203
"200",2024-07-18,10751,10746,21497
"201",2024-07-19,13770,12798,26568
"202",2024-07-20,10419,9256,19675
"203",2024-07-21,11478,10745,22223
"204",2024-07-22,11954,11814,23768
"205",2024-07-23,11059,10349,21408
"206",2024-07-24,10560,10415,20975
"207",2024-07-25,10077,9955,20032
"208",2024-07-26,9248,9166,18414
"209",2024-07-27,7364,6789,14153
"210",2024-07-28,9578,9325,18903
"211",2024-07-29,9801,9712,19513
"212",2024-07-30,7832,7919,15751
"213",2024-07-31,8674,8713,17387
"214",2024-08-01,9475,9173,18648
"215",2024-08-02,9633,9831,19464
"216",2024-08-03,8993,8624,17617
"217",2024-08-04,10436,9749,20185
"218",2024-08-05,10569,9926,20495
"219",2024-08-06,8154,7794,15948
"220",2024-08-07,8602,8265,16867
"221",2024-08-08,10482,10810,21292
"222",2024-08-09,10589,10930,21519
"223",2024-08-10,7780,7324,15104
"224",2024-08-11,8919,8550,17469
"225",2024-08-12,7317,6917,14234
"226",2024-08-13,5575,5220,10795
"227",2024-08-14,5900,5713,11613
"228",2024-08-15,7754,7533,15287
"229",2024-08-16,7382,7233,14615
"230",2024-08-17,7076,7122,14198
"231",2024-08-18,8841,8699,17540
"232",2024-08-19,9199,8622,17821
"233",2024-08-20,5895,5341,11236
"234",2024-08-21,5247,5106,10353
"235",2024-08-22,7952,8174,16126
"236",2024-08-23,7731,7647,15378
"237",2024-08-24,5221,4693,9914
"238",2024-08-25,6877,6239,13116
"239",2024-08-26,6477,6487,12964
"240",2024-08-27,4266,4311,8577
"241",2024-08-28,4907,4644,9551
"242",2024-08-29,8247,8878,17125
"243",2024-08-30,9387,9310,18697
"244",2024-08-31,5542,5002,10544
"245",2024-09-01,4638,4564,9202
"246",2024-09-02,5944,5828,11772
"247",2024-09-03,4282,3841,8123
"248",2024-09-04,4132,3962,8094
"249",2024-09-05,4606,4700,9306
"250",2024-09-06,4588,4797,9385
"251",2024-09-07,3455,3327,6782
"252",2024-09-08,5961,5824,11785
"253",2024-09-09,4963,4726,9689
"254",2024-09-10,3468,3428,6896
"255",2024-09-11,3643,3984,7627
"256",2024-09-12,5719,5720,11439
"257",2024-09-13,5159,4967,10126
"258",2024-09-14,3536,3351,6887
"259",2024-09-15,6484,6483,12967
"260",2024-09-16,5676,5785,11461
"261",2024-09-17,3835,4084,7919
"262",2024-09-18,4131,3971,8102
"263",2024-09-19,6287,6361,12648
"264",2024-09-20,6900,6887,13787
"265",2024-09-21,4128,4103,8231
"266",2024-09-22,7253,7040,14293
"267",2024-09-23,6287,6195,12482
