kepid,kepoi_name,fpp_koi_period,fpp_prad,fpp_prob,fpp_score,fpp_delivname,fpp_spec_occrate,fpp_secthresh,fpp_maxrad,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_ror,fpp_steff,fpp_steff_err1,fpp_steff_err2,fpp_srad,fpp_srad_err1,fpp_srad_err2,fpp_smass,fpp_smass_err1,fpp_smass_err2,fpp_sage,fpp_sage_err1,fpp_sage_err2,fpp_dist,fpp_dist_err1,fpp_dist_err2,fpp_av,fpp_av_err1,fpp_av_err2
6508221,K00416.03,9.748,0.82,9.50E-01,1.00E+00,q1_q17_dr25_koi,0.051,57,3.3,1.40E-08,1.90E-08,1.80E-01,1.80E-04,8.30E-04,7.70E-01,0.01,5212,73.3,-68.78,0.75,0.021,-0.024,0.83,0.034,-0.038,9.3,0.302,-0.436,457,14.73,-16.33,0.15,0.085,-0.09
6879865,K00417.01,19.193,14.58,8.60E-01,1.00E+00,q1_q17_dr25_koi,0.059,155,0.5,6.70E-02,7.90E-01,2.00E-03,2.30E-04,1.70E-03,5.30E-06,0.126,5851,250.22,-236.41,1.06,0.2,-0.123,1.01,0.116,-0.086,9.68,0.233,-0.332,1015,207.88,-126.61,0.34,0.184,-0.199
7975727,K00418.01,22.418,11.87,1.40E-02,1.00E+00,q1_q17_dr25_koi,0.077,555,0.5,4.60E-04,8.90E-03,4.80E-03,3.90E-05,1.60E-04,3.10E-12,0.112,5655,118,-166.76,0.97,0.168,-0.097,0.96,0.06,-0.06,9.82,0.169,-0.412,686,119.14,-73.89,0.52,0.094,-0.151
8219673,K00419.01,20.131,42.75,9.90E-01,1.00E+00,q1_q17_dr25_koi,0.001,105,0.5,6.30E-02,9.30E-01,1.10E-03,1.60E-04,1.90E-03,2.90E-05,0.392,5747,74.84,-72.41,1,0.153,-0.096,0.97,0.048,-0.054,9.78,0.156,-0.426,869,133.31,-85.47,0.07,0.049,-0.046
8352537,K00420.01,6.01,3.78,5.70E-08,1.00E+00,q1_q17_dr25_koi,0.123,43,0.5,3.60E-09,1.40E-19,5.30E-08,8.80E-11,2.00E-16,1.10E-14,0.047,4829,41.62,-44.95,0.74,0.029,-0.035,0.77,0.039,-0.043,9.84,0.257,-0.69,364,16.09,-18.47,0.1,0.036,-0.057
9115800,K00421.01,4.454,11.43,3.80E-04,1.00E+00,q1_q17_dr25_koi,0.077,88,0.5,2.20E-04,1.50E-04,5.10E-08,1.40E-07,4.90E-13,7.00E-17,0.118,5443,252.55,-210.54,0.89,0.101,-0.071,0.89,0.073,-0.059,9.84,0.202,-0.439,765,98.01,-69.66,0.4,0.223,-0.215
9214713,K00422.01,809.014,18.53,3.80E-01,1.00E+00,q1_q17_dr25_koi,0.028,377,0.5,3.10E-02,3.40E-01,1.60E-03,7.10E-06,7.70E-07,1.10E-06,0.126,6235,91.41,-112.18,1.35,0.527,-0.202,1.22,0.163,-0.094,9.46,0.101,-0.248,1410,548.78,-213.32,0.3,0.039,-0.075
9478990,K00423.01,21.087,12.84,3.90E-04,1.00E+00,q1_q17_dr25_koi,0.071,159,0.5,2.40E-04,1.60E-04,2.30E-09,8.50E-11,1.10E-06,3.50E-43,0.087,6334,106.24,-106.03,1.35,0.253,-0.17,1.19,0.108,-0.086,9.5,0.101,-0.154,1195,216.68,-153.7,0.32,0.072,-0.076
9597411,K00424.01,1.576,35.14,7.90E-01,1.00E+00,q1_q17_dr25_koi,0.001,160,0.5,1.40E-01,1.30E-01,6.80E-05,2.10E-02,5.10E-01,1.70E-04,0.306,5913,203.37,-137.35,1.05,0.195,-0.114,1.02,0.088,-0.072,9.64,0.196,-0.375,1043,201.48,-120.03,0.15,0.151,-0.104
9967884,K00425.01,5.428,17.28,8.40E-01,1.00E+00,q1_q17_dr25_koi,0.041,94,0.5,9.60E-02,7.40E-01,6.30E-04,2.30E-04,1.20E-03,1.80E-06,0.141,5942,207.27,-215.25,1.12,0.214,-0.146,1.06,0.116,-0.081,9.61,0.231,-0.326,1055,214.57,-142.98,0.3,0.145,-0.173
10016874,K00426.01,16.301,3.1,6.20E-05,1.00E+00,q1_q17_dr25_koi,0.182,101,0.5,4.30E-10,4.90E-05,1.30E-05,1.20E-13,1.50E-14,4.00E-10,0.031,5616,151.89,-88.96,0.92,0.097,-0.083,0.92,0.06,-0.072,9.79,0.199,-0.432,835,93.8,-77.89,0.1,0.124,-0.073
6462863,K00094.02,10.424,3.74,4.90E-09,1.00E+00,q1_q17_dr25_koi,0.118,25,0.5,1.70E-11,3.60E-09,1.40E-20,1.30E-09,1.30E-27,1.50E-23,0.026,6209,97.81,-72.1,1.32,0.227,-0.15,1.18,0.081,-0.062,9.52,0.09,-0.181,462,79.76,-53.47,0.09,0.069,-0.053
6462863,K00094.03,54.32,6.04,6.50E-06,1.00E+00,q1_q17_dr25_koi,0.051,72,0.5,4.50E-07,5.80E-06,2.60E-12,1.10E-15,2.60E-31,9.90E-17,0.042,6211,94.57,-74.18,1.32,0.209,-0.154,1.18,0.077,-0.062,9.52,0.092,-0.192,461,73.36,-53.6,0.1,0.068,-0.054
6462863,K00094.04,3.743,1.44,5.80E-05,1.00E+00,q1_q17_dr25_koi,0.152,17,0.63,1.10E-23,2.90E-23,2.20E-99,9.30E-08,7.10E-11,1.90E-54,0.01,6209,94.06,-74.47,1.32,0.224,-0.155,1.18,0.081,-0.063,9.53,0.091,-0.183,462,78.57,-54.54,0.1,0.066,-0.055
5780885,K00097.01,4.885,17.39,1.40E-03,1.00E+00,q1_q17_dr25_koi,0.051,54,0.5,1.40E-03,6.30E-07,7.60E-35,8.30E-10,5.20E-15,2.50E-13,0.08,6088,64.45,-69.1,1.99,0.076,-0.079,1.37,0.047,-0.105,9.54,0.083,-0.046,911,37,-38.83,0.1,0.056,-0.055
10264660,K00098.01,6.79,10.59,3.20E-05,1.00E+00,q1_q17_dr25_koi,0.071,23,0.5,3.20E-05,1.80E-08,5.80E-42,1.50E-10,1.60E-14,8.30E-82,0.045,6465,56.42,-54.74,2.16,0.073,-0.07,1.52,0.045,-0.036,9.35,0.031,-0.04,798,28.98,-26.68,0.04,0.04,-0.026
4055765,K00100.01,9.966,13.06,6.20E-01,1.00E+00,q1_q17_dr25_koi,0.072,41,0.5,2.60E-02,5.80E-01,1.60E-03,6.80E-05,1.10E-02,7.60E-05,0.05,6654,89.3,-97.36,2.4,0.484,-0.53,1.63,0.15,-0.19,9.24,0.092,-0.075,1052,211.74,-229.97,0.3,0.053,-0.07
8456679,K00102.01,1.735,3.32,9.90E-05,1.00E+00,q1_q17_dr25_koi,0.163,12,2.07,2.00E-09,4.20E-09,9.90E-05,7.30E-09,1.30E-08,2.60E-32,0.028,5821,92.44,-83.11,1.09,0.099,-0.08,1.04,0.046,-0.04,9.7,0.149,-0.271,389,36.47,-28.39,0.14,0.079,-0.076
8456679,K00102.02,4.068,0.95,2.70E-03,1.00E+00,q1_q17_dr25_koi,0.094,16,4,1.40E-15,4.70E-17,2.70E-03,2.70E-07,8.60E-08,1.10E-05,0.008,5821,92.44,-83.11,1.09,0.099,-0.08,1.04,0.046,-0.04,9.7,0.149,-0.271,389,36.47,-28.39,0.14,0.079,-0.076
2444412,K00103.01,14.911,2.74,7.90E-05,1.00E+00,q1_q17_dr25_koi,0.203,46,0.5,1.20E-05,6.70E-05,5.30E-08,2.20E-10,7.30E-08,9.10E-14,0.027,5697,78,-64.29,0.93,0.043,-0.039,0.97,0.036,-0.04,9.54,0.215,-0.37,326,16.05,-15.28,0.07,0.071,-0.05
10318874,K00104.01,2.508,3.19,1.40E-03,1.00E+00,q1_q17_dr25_koi,0.178,23,0.5,1.90E-05,1.40E-03,5.90E-07,1.60E-05,4.30E-05,3.40E-13,0.039,4736,36.59,-36.99,0.75,0.012,-0.012,0.82,0.015,-0.022,9.46,0.31,-0.411,191,4.1,-4.42,0.1,0.034,-0.054
8711794,K00105.01,8.981,3.03,1.30E-02,1.00E+00,q1_q17_dr25_koi,0.192,27,0.5,3.90E-04,1.30E-02,2.80E-06,9.40E-08,1.10E-10,2.50E-12,0.03,5646,99.93,-95.93,0.93,0.101,-0.086,0.85,0.054,-0.049,9.98,0.121,-0.275,345,39.29,-33.23,0.19,0.093,-0.091
5959753,K00226.01,8.309,2.38,7.80E-07,1.00E+00,q1_q17_dr25_koi,0.213,60,0.5,7.80E-13,1.30E-18,1.80E-07,6.00E-07,1.90E-16,5.40E-12,0.026,5142,46.99,-38.02,0.84,0.036,-0.036,0.84,0.03,-0.024,10,0.133,-0.298,664,30.14,-29.5,0.04,0.053,-0.031
3847907,K00229.01,3.573,6.2,2.90E-04,1.00E+00,q1_q17_dr25_koi,0.051,35,0.5,2.00E-04,1.10E-07,8.80E-05,1.10E-08,5.30E-13,5.80E-21,0.049,5811,123.99,-129.34,1.16,0.279,-0.154,1.08,0.107,-0.061,9.65,0.177,-0.334,1119,265.87,-149.54,0.17,0.097,-0.106
3862246,K00230.01,4.702,44.81,1.00E+00,1.00E+00,q1_q17_dr25_koi,0.001,616,0.5,1.10E-01,6.70E-01,6.70E-03,1.60E-02,1.90E-01,1.00E-02,0.388,5808,220.9,-228.38,1.06,0.165,-0.117,1.03,0.093,-0.077,9.65,0.217,-0.397,1014,169.15,-122.09,0.42,0.169,-0.187
4043443,K00231.01,119.84,27.54,9.80E-01,1.00E+00,q1_q17_dr25_koi,0.007,5066,0.5,1.20E-01,8.30E-01,1.60E-02,2.40E-03,9.70E-03,3.00E-04,0.366,4612,82.71,-83.6,0.69,0.017,-0.024,0.75,0.025,-0.044,9.21,0.522,-0.452,387,12.44,-14.52,0.32,0.124,-0.128
4833421,K00232.01,12.466,5.4,8.70E-05,1.00E+00,q1_q17_dr25_koi,0.053,49,0.5,6.30E-06,1.60E-06,2.70E-09,5.30E-11,7.90E-05,3.90E-12,0.043,6065,100.61,-103.89,1.15,0.156,-0.111,1.08,0.064,-0.06,9.62,0.123,-0.248,954,131,-94.26,0.18,0.077,-0.082
4833421,K00232.02,5.766,2.17,1.00E+00,0.00E+00,q1_q17_dr25_koi,0.215,27,0.5,7.50E-34,4.10E-108,3.20E-181,1.20E-08,1.40E-44,1.10E-157,0.017,6064,99.39,-99.25,1.17,0.181,-0.121,1.08,0.067,-0.06,9.64,0.121,-0.238,969,151.86,-101.4,0.18,0.076,-0.083
4833421,K00232.03,21.588,2.17,1.00E-02,9.90E-01,q1_q17_dr25_koi,0.219,70,0.78,6.10E-13,2.50E-05,2.80E-22,1.90E-11,1.90E-05,3.10E-08,0.017,6060,100.61,-99.6,1.17,0.153,-0.118,1.08,0.062,-0.058,9.64,0.115,-0.225,969,129.29,-100.08,0.17,0.076,-0.079
4833421,K00232.04,37.996,2.29,3.60E-03,1.00E+00,q1_q17_dr25_koi,0.213,82,0.84,1.10E-05,2.70E-06,3.10E-09,8.10E-12,3.00E-32,1.60E-09,0.018,6073,98.37,-104.26,1.17,0.154,-0.119,1.08,0.063,-0.058,9.63,0.115,-0.247,965,128.63,-100.3,0.18,0.074,-0.083
4833421,K00232.05,56.259,2.16,6.10E-01,3.90E-01,q1_q17_dr25_koi,0.217,80,1.71,3.70E-07,1.10E-05,2.90E-10,2.30E-19,7.20E-14,2.80E-22,0.017,6059,99.26,-100.81,1.17,0.159,-0.117,1.07,0.067,-0.063,9.64,0.119,-0.225,966,132.89,-98.93,0.17,0.08,-0.08
5023956,K00233.01,1.825,8.93,3.80E-03,1.00E+00,q1_q17_dr25_koi,0.069,76,0.5,8.60E-15,3.50E-03,3.20E-14,4.70E-08,2.80E-04,5.20E-16,0.061,6314,217.46,-214.72,1.34,0.516,-0.209,1.23,0.182,-0.126,9.4,0.165,-0.259,1350,513.72,-222.66,0.32,0.134,-0.143
8491277,K00234.01,9.614,2.92,1.60E-05,1.00E+00,q1_q17_dr25_koi,0.19,37,0.5,6.70E-15,1.90E-14,1.60E-05,3.20E-12,2.20E-14,3.70E-13,0.027,5712,130.96,-80.4,0.99,0.162,-0.097,0.97,0.053,-0.056,9.77,0.197,-0.418,771,126.31,-78.43,0.07,0.105,-0.052
11200415,K00293.01,4.64,1.34,1.30E-01,1.00E+00,q1_q17_dr25_koi,0.157,13,0.5,7.40E-05,2.90E-02,3.40E-02,8.80E-03,5.60E-02,1.20E-03,0.008,6634,157.69,-183.14,1.54,0.558,-0.256,1.37,0.178,-0.122,9.25,0.127,-0.25,538,193.52,-88.03,0.18,0.087,-0.114
11259686,K00294.01,34.436,2.76,8.40E-03,1.00E+00,q1_q17_dr25_koi,0.199,48,0.72,5.30E-04,7.60E-03,7.20E-05,4.50E-06,2.20E-04,2.70E-08,0.019,5996,84.64,-66.21,1.33,0.25,-0.168,1.18,0.086,-0.055,9.59,0.088,-0.16,544,102.09,-67.97,0.07,0.065,-0.047
11547513,K00295.01,5.317,2.02,2.30E-08,1.00E+00,q1_q17_dr25_koi,0.205,21,0.51,1.20E-13,6.30E-12,1.00E-08,1.30E-08,4.00E-12,9.10E-22,0.017,5977,63.06,-61.65,1.09,0.107,-0.085,1.05,0.041,-0.051,9.64,0.133,-0.29,376,37.65,-29.75,0.06,0.047,-0.037
11547513,K00295.02,10.106,1.31,1.60E-03,1.00E+00,q1_q17_dr25_koi,0.128,35,0.96,8.50E-06,1.60E-03,3.10E-05,6.30E-06,1.40E-07,1.20E-07,0.011,5979,62.78,-59.99,1.09,0.105,-0.083,1.05,0.039,-0.046,9.63,0.135,-0.297,376,36.95,-28.49,0.06,0.046,-0.037
11802615,K00296.01,28.862,2.48,9.30E-05,1.00E+00,q1_q17_dr25_koi,0.206,46,0.99,1.20E-05,5.30E-05,4.10E-06,7.90E-10,2.40E-05,8.00E-10,0.021,5842,61.73,-56.25,1.08,0.167,-0.104,1.02,0.039,-0.041,9.78,0.097,-0.272,476,72.86,-46.6,0.04,0.046,-0.031
11905011,K00297.01,5.652,2.13,2.50E-06,1.00E+00,q1_q17_dr25_koi,0.218,19,0.5,1.10E-13,6.40E-07,1.70E-06,1.90E-07,4.10E-10,7.90E-13,0.013,6089,70.24,-60.81,1.5,0.254,-0.198,1.31,0.086,-0.053,9.41,0.066,-0.161,510,85.82,-66.81,0.06,0.052,-0.04
12785320,K00298.01,19.964,1.56,1.70E-04,1.00E+00,q1_q17_dr25_koi,0.157,48,0.75,3.10E-06,6.70E-05,9.00E-05,4.00E-06,1.40E-06,7.40E-07,0.017,5294,48.31,-58.26,0.84,0.035,-0.034,0.88,0.032,-0.034,9.75,0.223,-0.408,259,11.52,-11.11,0.24,0.034,-0.063
12785320,K00298.02,57.384,1.74,1.30E-02,1.00E+00,q1_q17_dr25_koi,0.17,77,1.41,1.70E-04,2.10E-04,8.90E-03,1.60E-04,2.30E-04,2.90E-03,0.019,5292,48.92,-61.66,0.84,0.036,-0.033,0.88,0.033,-0.033,9.73,0.236,-0.425,258,11.28,-10.9,0.23,0.038,-0.066
2692377,K00299.01,1.542,1.82,3.90E-06,1.00E+00,q1_q17_dr25_koi,0.183,34,0.5,2.00E-15,3.90E-12,3.50E-06,5.10E-08,3.80E-07,9.50E-12,0.016,5559,86.34,-71.73,1.04,0.123,-0.101,0.94,0.039,-0.034,9.97,0.111,-0.234,398,47.33,-38.86,0.11,0.081,-0.068
3438975,K00300.01,2.976,1.34,1.00E+00,4.60E-01,q1_q17_dr25_koi,0.134,12,2.61,1.10E-32,2.30E-26,1.80E-17,2.00E-09,4.80E-08,4.70E-01,0.011,6008,170.98,-180.49,1.11,0.204,-0.134,1.07,0.106,-0.073,9.57,0.193,-0.333,362,69.64,-44.69,0.23,0.119,-0.139
3642289,K00301.01,6.003,2.36,5.00E-06,1.00E+00,q1_q17_dr25_koi,0.214,13,0.78,1.20E-16,1.00E-13,5.00E-06,1.70E-09,5.60E-11,5.90E-13,0.016,6255,101.76,-85.85,1.35,0.153,-0.121,1.24,0.062,-0.056,9.42,0.111,-0.233,608,68.74,-56.05,0.1,0.075,-0.059
10189546,K00427.01,24.615,3.88,2.20E-02,1.00E+00,q1_q17_dr25_koi,0.111,202,0.69,1.60E-03,2.10E-02,2.10E-05,6.70E-09,1.70E-07,2.70E-10,0.039,5334,55.58,-54.83,0.91,0.07,-0.057,0.88,0.03,-0.027,10.04,0.104,-0.293,704,55.23,-45.01,0.1,0.06,-0.061
10189546,K00427.02,42.95,2.79,2.60E-04,1.00E+00,q1_q17_dr25_koi,0.201,207,0.57,3.00E-06,6.20E-05,2.90E-06,5.90E-12,3.70E-08,2.50E-09,0.028,5336,53.84,-56.85,0.92,0.066,-0.06,0.87,0.031,-0.026,10.04,0.099,-0.291,706,53.11,-47.77,0.1,0.057,-0.063
10189546,K00427.03,117.034,2.48,1.80E-03,1.00E+00,q1_q17_dr25_koi,0.21,286,0.81,8.60E-05,7.00E-04,8.20E-04,2.50E-05,1.60E-04,3.90E-05,0.025,5337,53.68,-52.62,0.91,0.066,-0.061,0.88,0.031,-0.026,10.02,0.111,-0.316,703,51.43,-48.38,0.1,0.058,-0.059
10418224,K00428.01,6.873,13.03,5.10E-07,1.00E+00,q1_q17_dr25_koi,0.074,35,0.5,2.80E-07,4.80E-08,3.40E-60,7.50E-17,1.80E-07,9.90E-47,0.056,6339,63.73,-72.27,2.13,0.17,-0.163,1.48,0.063,-0.063,9.4,0.05,-0.049,2192,181.43,-167.32,0.23,0.023,-0.045
10616679,K00429.01,8.6,4.35,2.10E-05,1.00E+00,q1_q17_dr25_koi,0.092,75,0.5,1.80E-08,9.30E-49,2.10E-05,1.10E-17,1.10E-26,1.90E-16,0.047,5310,101.76,-126.36,0.85,0.071,-0.057,0.85,0.044,-0.049,9.92,0.186,-0.438,578,52.88,-41.6,0.23,0.101,-0.128
10717241,K00430.01,12.376,2.58,6.40E-04,1.00E+00,q1_q17_dr25_koi,0.206,115,0.5,1.80E-10,1.00E-10,2.40E-04,3.90E-07,4.00E-04,3.70E-08,0.038,4280,36.69,-34.24,0.62,0.019,-0.02,0.65,0.029,-0.027,9.77,0.267,-0.477,310,13.09,-12.96,0.04,0.05,-0.029
10717241,K00430.02,9.341,0.88,1.20E-01,1.00E+00,q1_q17_dr25_koi,0.065,112,1.71,3.70E-10,7.40E-13,2.40E-02,1.60E-04,2.90E-05,9.00E-02,0.013,4281,36.47,-35.74,0.62,0.019,-0.02,0.65,0.028,-0.027,9.77,0.269,-0.467,310,13.13,-12.81,0.04,0.051,-0.03
10843590,K00431.01,18.87,2.66,6.90E-06,1.00E+00,q1_q17_dr25_koi,0.204,116,0.5,5.90E-10,5.10E-06,1.80E-06,2.70E-13,3.60E-18,7.70E-10,0.03,5253,72.97,-65.54,0.81,0.057,-0.059,0.82,0.041,-0.052,9.93,0.178,-0.409,516,37.59,-38.66,0.08,0.076,-0.058
10843590,K00431.02,46.903,2.5,1.00E-03,1.00E+00,q1_q17_dr25_koi,0.211,152,0.5,8.50E-07,8.00E-04,2.10E-04,5.80E-08,3.40E-10,1.40E-06,0.028,5256,79.77,-67.24,0.82,0.059,-0.061,0.82,0.041,-0.051,9.96,0.164,-0.409,519,39.26,-40.68,0.09,0.08,-0.061
10858832,K00432.01,5.263,3.95,2.90E-03,1.00E+00,q1_q17_dr25_koi,0.098,42,0.5,3.40E-08,2.80E-03,1.30E-05,1.10E-07,1.90E-06,4.40E-10,0.034,5830,112.43,-88.03,1.06,0.232,-0.118,1.02,0.056,-0.059,9.74,0.167,-0.392,859,184.91,-98.6,0.09,0.087,-0.061
10937029,K00433.01,4.03,4.42,5.20E-07,1.00E+00,q1_q17_dr25_koi,0.092,51,0.5,6.80E-08,3.40E-18,4.40E-07,6.30E-11,8.10E-09,1.10E-13,0.048,5245,86.74,-67.99,0.84,0.027,-0.023,0.9,0.035,-0.033,9.65,0.217,-0.347,722,25.37,-22.34,0.12,0.093,-0.077
10489525,K00106.01,1.612,34.31,1.00E+00,1.00E+00,q1_q17_dr25_koi,0.001,19,0.5,2.80E-20,1.30E-15,3.90E-82,3.70E-03,9.80E-01,1.40E-02,0.182,6853,154.64,-234.34,1.73,0.701,-0.334,1.49,0.225,-0.151,9.16,0.12,-0.176,834,338.89,-161.28,0.41,0.081,-0.142
11250587,K00107.01,7.257,3.58,3.10E-08,1.00E+00,q1_q17_dr25_koi,0.144,17,0.5,5.50E-09,2.50E-08,5.10E-16,4.60E-12,4.00E-16,9.30E-40,0.021,5913,49.97,-44.56,1.56,0.071,-0.054,1.15,0.097,-0.041,9.77,0.06,-0.116,640,30.14,-24.08,0.04,0.039,-0.025
4914423,K00108.01,15.965,3.37,1.50E-03,1.00E+00,q1_q17_dr25_koi,0.157,21,0.5,2.50E-05,1.50E-03,7.80E-09,2.70E-10,3.10E-13,2.70E-16,0.021,5934,62.2,-51.86,1.47,0.074,-0.068,1.12,0.063,-0.037,9.78,0.06,-0.087,492,25.06,-24.15,0.05,0.055,-0.037
4914423,K00108.02,179.61,5.61,6.30E-04,1.00E+00,q1_q17_dr25_koi,0.053,68,0.81,4.30E-05,2.70E-05,4.40E-07,1.50E-09,5.50E-04,6.90E-12,0.035,5933,60.95,-51.8,1.47,0.074,-0.068,1.12,0.067,-0.036,9.78,0.06,-0.093,491,25.55,-23.69,0.05,0.053,-0.035
4752451,K00109.01,6.415,27.09,1.00E+00,1.00E+00,q1_q17_dr25_koi,0.002,40,0.5,2.90E-05,4.10E-02,3.60E-01,9.20E-03,1.60E-01,4.30E-01,0.2,6207,169.32,-187.43,1.24,0.334,-0.172,1.16,0.132,-0.094,9.46,0.167,-0.315,449,121.65,-65.46,0.22,0.108,-0.131
9450647,K00110.01,9.941,2.96,3.70E-04,1.00E+00,q1_q17_dr25_koi,0.193,19,0.5,1.90E-05,3.50E-04,7.60E-08,5.60E-11,8.10E-17,3.50E-28,0.021,6329,71.98,-66.61,1.29,0.129,-0.096,1.22,0.046,-0.048,9.37,0.113,-0.276,590,59.1,-44.71,0.04,0.044,-0.026
6678383,K00111.01,11.428,2.38,6.40E-08,1.00E+00,q1_q17_dr25_koi,0.21,20,0.5,7.30E-09,5.70E-08,7.70E-13,5.00E-12,1.70E-16,4.10E-11,0.021,6019,86.64,-67.77,1.04,0.11,-0.085,0.99,0.057,-0.058,9.67,0.154,-0.325,407,42.92,-34.72,0.07,0.069,-0.048
6678383,K00111.02,23.668,2.38,1.50E-05,1.00E+00,q1_q17_dr25_koi,0.211,23,0.5,6.80E-09,2.40E-11,3.10E-13,8.10E-13,3.40E-24,7.00E-34,0.021,6019,86.64,-67.77,1.04,0.11,-0.085,0.99,0.057,-0.058,9.67,0.154,-0.325,407,42.92,-34.72,0.07,0.069,-0.048
6678383,K00111.03,51.755,2.73,5.70E-04,1.00E+00,q1_q17_dr25_koi,0.201,38,0.5,6.20E-05,1.80E-06,5.10E-04,2.20E-07,8.40E-11,2.20E-08,0.024,6016,82.12,-68.8,1.04,0.121,-0.092,0.99,0.059,-0.058,9.68,0.157,-0.335,409,48.04,-36.78,0.07,0.065,-0.046
10984090,K00112.01,51.079,2.89,1.40E-05,1.00E+00,q1_q17_dr25_koi,0.197,36,0.6,2.50E-06,1.00E-05,1.70E-06,3.50E-11,8.30E-11,1.60E-07,0.025,5914,71.82,-66.52,1.06,0.092,-0.071,1.04,0.039,-0.044,9.62,0.153,-0.318,442,39.09,-31.25,0.06,0.062,-0.041
10984090,K00112.02,3.709,1.16,1.50E-05,1.00E+00,q1_q17_dr25_koi,0.116,16,0.6,5.10E-15,2.20E-15,1.40E-05,2.00E-07,1.70E-07,1.60E-08,0.01,5914,77.02,-64.31,1.06,0.092,-0.072,1.04,0.041,-0.044,9.63,0.147,-0.32,443,39.12,-31.24,0.06,0.063,-0.042
8107225,K00235.01,5.633,2.12,4.00E-05,1.00E+00,q1_q17_dr25_koi,0.219,43,0.5,5.40E-15,2.90E-06,3.70E-05,1.10E-08,2.00E-07,9.80E-10,0.023,5287,148.56,-136.33,0.84,0.079,-0.056,0.85,0.044,-0.051,9.92,0.186,-0.425,533,54.99,-38.38,0.25,0.153,-0.146
8453211,K00236.01,5.777,34.22,1.00E+00,0.00E+00,q1_q17_dr25_koi,0.001,49,4,7.30E-85,1.10E-154,5.60E-10,2.90E-17,6.50E-36,2.10E-36,0.343,5486,215.83,-144.14,0.92,0.112,-0.08,0.9,0.066,-0.056,9.87,0.194,-0.41,705,94.79,-66.15,0.23,0.192,-0.141
8041216,K00237.01,8.508,2.61,1.20E-05,1.00E+00,q1_q17_dr25_koi,0.205,33,0.5,4.40E-08,4.90E-07,1.20E-05,6.10E-09,2.60E-14,6.60E-09,0.023,5786,88.61,-88.26,1.04,0.094,-0.077,1,0.043,-0.043,9.74,0.143,-0.299,757,69.56,-56.94,0.18,0.076,-0.083
7219825,K00238.01,17.232,2.81,4.30E-05,1.00E+00,q1_q17_dr25_koi,0.196,42,0.5,6.40E-07,3.90E-05,3.00E-06,5.90E-12,8.80E-16,7.40E-09,0.021,6156,109.35,-111.63,1.23,0.18,-0.125,1.13,0.079,-0.071,9.55,0.128,-0.241,948,142.67,-100.77,0.2,0.074,-0.084
7219825,K00238.02,26.695,1.47,4.20E-04,1.00E+00,q1_q17_dr25_koi,0.141,67,1.71,1.30E-06,1.90E-04,1.60E-04,9.50E-07,2.50E-06,3.00E-05,0.011,6150,114.63,-110.83,1.23,0.175,-0.134,1.13,0.077,-0.07,9.55,0.124,-0.221,946,139.76,-105.72,0.2,0.08,-0.084
7219825,K00238.03,362.978,2.01,1.70E-02,1.00E+00,q1_q17_dr25_koi,0.207,147,5.7,8.10E-06,2.30E-04,1.30E-02,2.40E-06,4.30E-05,2.20E-03,0.015,6152,104.73,-112.71,1.23,0.18,-0.132,1.13,0.074,-0.073,9.55,0.128,-0.237,948,142.44,-104.27,0.2,0.078,-0.084
6383785,K00239.01,5.641,4.37,7.40E-04,1.00E+00,q1_q17_dr25_koi,0.09,49,0.5,7.20E-05,4.20E-04,5.10E-05,1.20E-08,2.00E-04,6.70E-12,0.035,5810,64.58,-55.8,1.15,0.185,-0.131,1.03,0.042,-0.037,9.82,0.085,-0.197,1148,185.35,-133.09,0.07,0.059,-0.046
6383785,K00239.02,3.623,1.52,3.90E-04,1.00E+00,q1_q17_dr25_koi,0.155,41,1.38,1.10E-15,1.20E-13,1.10E-04,5.60E-07,1.00E-06,2.80E-04,0.012,5805,65.4,-56.72,1.16,0.167,-0.139,1.03,0.041,-0.035,9.83,0.084,-0.209,1158,167.98,-136.57,0.07,0.06,-0.045
8026752,K00240.01,4.287,4.74,5.70E-05,1.00E+00,q1_q17_dr25_koi,0.066,99,0.5,2.00E-07,5.70E-05,5.60E-16,1.90E-12,5.70E-17,5.20E-28,0.036,6120,116.68,-156.85,1.21,0.265,-0.149,1.13,0.104,-0.079,9.52,0.155,-0.319,1422,322.25,-183.46,0.19,0.072,-0.113
11288051,K00241.01,13.821,2.26,6.40E-05,1.00E+00,q1_q17_dr25_koi,0.217,60,0.5,2.40E-11,5.50E-16,6.10E-05,4.00E-06,6.40E-12,8.80E-09,0.031,5128,49.17,-41.67,0.67,0.021,-0.016,0.72,0.033,-0.024,9.36,0.322,-0.361,382,13.33,-10.45,0.04,0.05,-0.025
11288051,K00241.02,30.951,1.53,6.40E-04,1.00E+00,q1_q17_dr25_koi,0.151,72,0.57,1.40E-11,3.80E-15,4.00E-04,1.40E-05,2.40E-07,2.20E-04,0.021,5128,48.24,-41.86,0.67,0.022,-0.015,0.72,0.034,-0.024,9.36,0.32,-0.359,382,13.45,-10.77,0.04,0.049,-0.026
