kepid,kepoi_name,fpp_koi_period,fpp_prad,fpp_prob,fpp_score,fpp_delivname,fpp_spec_occrate,fpp_secthresh,fpp_maxrad,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_ror,fpp_steff,fpp_steff_err1,fpp_steff_err2,fpp_srad,fpp_srad_err1,fpp_srad_err2,fpp_smass,fpp_smass_err1,fpp_smass_err2,fpp_sage,fpp_sage_err1,fpp_sage_err2,fpp_dist,fpp_dist_err1,fpp_dist_err2,fpp_av,fpp_av_err1,fpp_av_err2
4945764,K04377.01,19.875,2.3,1.10E-04,1.00E+00,q1_q17_dr25_koi,0.209,39,1.53,8.00E-08,6.70E-06,5.30E-05,3.60E-06,2.90E-06,6.20E-07,0.011,6932,69.16,-69.96,1.92,0.447,-0.322,1.56,0.154,-0.105,9.16,0.057,-0.08,1191,278.24,-198.55,0.77,0.056,-0.057
7703910,K04379.01,1.276,1.26,6.50E-05,1.00E+00,q1_q17_dr25_koi,0.13,62,0.5,4.20E-10,1.30E-06,2.80E-07,1.60E-06,5.00E-05,8.30E-06,0.008,6453,336.23,-304.94,1.45,0.558,-0.256,1.31,0.211,-0.165,9.31,0.209,-0.282,1605,624.91,-303.34,0.77,0.208,-0.198
7777818,K04380.01,5.782,1.31,7.40E-01,1.00E+00,q1_q17_dr25_koi,0.151,28,0.5,1.30E-03,2.00E-01,9.60E-02,1.90E-02,1.30E-01,3.00E-01,0.008,6764,203.18,-270.64,1.5,0.578,-0.27,1.35,0.209,-0.193,9.24,0.19,-0.206,782,295.27,-147.04,0.79,0.122,-0.165
9851360,K04381.01,8.481,1.35,2.30E-01,9.30E-01,q1_q17_dr25_koi,0.127,63,2.13,1.10E-74,4.50E-82,6.20E-04,3.30E-09,1.60E-13,1.60E-01,0.016,5207,94.94,-62.72,0.77,0.065,-0.074,0.78,0.053,-0.062,9.95,0.169,-0.404,781,68.43,-80.14,0.07,0.098,-0.053
6937529,K04382.01,2.946,1.01,2.10E-05,1.00E+00,q1_q17_dr25_koi,0.108,18,2.91,4.90E-18,2.50E-08,9.80E-13,4.00E-08,1.40E-06,1.30E-05,0.007,6357,132.55,-107.55,1.33,0.46,-0.177,1.24,0.146,-0.104,9.39,0.123,-0.334,1197,406.44,-165.08,0.07,0.086,-0.052
9883606,K04383.01,4.342,0.98,1.10E-04,1.00E+00,q1_q17_dr25_koi,0.096,27,2.07,5.40E-15,1.10E-05,4.30E-05,2.00E-06,8.80E-06,3.30E-05,0.008,5937,76.53,-84.58,1.12,0.236,-0.127,1.07,0.071,-0.058,9.64,0.136,-0.367,754,159.8,-87.02,0.12,0.045,-0.067
9883606,K04383.02,2.584,0.73,3.50E-02,1.00E+00,q1_q17_dr25_koi,0.061,22,2.31,3.10E-09,3.70E-07,4.90E-03,7.60E-05,5.40E-04,3.00E-02,0.006,5936,78.87,-81.82,1.11,0.211,-0.122,1.06,0.064,-0.057,9.64,0.135,-0.369,749,142.63,-84.93,0.11,0.046,-0.06
5860968,K04384.01,122.358,1.87,2.50E-03,1.00E+00,q1_q17_dr25_koi,0.201,179,1.77,5.50E-07,9.90E-08,1.40E-03,1.00E-05,8.20E-06,9.40E-04,0.017,5752,103.06,-118.98,1.01,0.173,-0.099,0.99,0.051,-0.053,9.76,0.171,-0.412,1030,181.11,-107.81,0.18,0.077,-0.098
3645438,K04385.01,7.298,1.65,4.50E-04,1.00E+00,q1_q17_dr25_koi,0.158,148,2.73,2.80E-13,8.90E-13,3.90E-04,7.80E-07,1.40E-08,5.60E-05,0.018,5167,59.97,-63.82,0.84,0.037,-0.035,0.84,0.031,-0.026,9.97,0.139,-0.317,1013,49.26,-44.02,0.18,0.072,-0.082
4848321,K04573.01,1.502,1.05,1.70E-04,1.00E+00,q1_q17_dr25_koi,0.099,20,1.74,3.20E-22,3.30E-14,1.70E-27,9.90E-11,9.80E-08,4.00E-06,0.009,5853,219.25,-208.03,1.07,0.174,-0.128,1.02,0.098,-0.076,9.67,0.22,-0.363,1131,200.23,-142.53,0.29,0.164,-0.174
