"","X","b1","b2","b3","k1","k2","k3","mu_EI","mu_IR","rho1","rho2","rho3","eta","N","mu_RS","loglik","loglik.se"
"1",391,0.670159897124209,21.6896254297205,0.000385540842045135,3.06677909134567,4.56001937224754,0.701516044107073,2.91774104298819,0.146905546887781,0.0468514324369379,0.40833877333851,0.834679744770847,0.706112558555561,34530000,0.005,-1239.45404906919,0.00246797465904513
"2",729,0.722761174670753,28.4715033626665,0.00116308495578412,2.97203057908326,4.61261141267785,0.722030357511828,2.11718316853955,0.152402669297419,0.0483944345766045,0.40705219309599,0.856584008401957,0.678564698520328,34530000,0.005,-1239.45697187345,0.00280087347717329
"3",538,0.713110430206508,26.3539649842486,0.000269694434498177,2.99025197215,4.59539391703206,0.714524801998269,2.27507189921717,0.151591080785019,0.0481584171771098,0.406915432445357,0.858796285662754,0.680859438742885,34530000,0.005,-1239.43595977596,0.00333298553045173
"4",657,0.700081019164137,24.1535082990388,0.000392227776316217,3.00047266270261,4.55502387255003,0.71076402651302,2.44673063928226,0.149181159434544,0.0480240645400519,0.409831327066854,0.835197657693566,0.685570588907268,34530000,0.005,-1239.43806926952,0.00244740372736321
"5",376,0.752737671284256,29.2633154732573,0.000389368036115837,2.98102684194909,4.65000114763819,0.725632385758486,1.99990500043963,0.154306466693334,0.0495943450795455,0.410449439411483,0.856951687252258,0.653374530867781,34530000,0.005,-1239.46605116514,0.0027794021606213
"6",384,0.750054884133253,25.9399741250408,0.000311870723635495,3.02139376062726,4.67367632678819,0.711576219885033,2.27065607507767,0.150230121832921,0.050082188362729,0.409663066338436,0.834796263479621,0.639356755901057,34530000,0.005,-1239.46356119379,0.00268836065261342
"7",285,0.713874356109632,27.4964830984019,0.00029099771762389,2.96433388076692,4.60979650863905,0.71861206693377,2.11561531881908,0.153909552901913,0.0478173064240685,0.406373176067859,0.876551795477836,0.689966605165967,34530000,0.005,-1239.44802978448,0.00241466603083391
"8",567,0.701766760181208,29.1194402934213,0.000811450417916485,2.94302592056447,4.62007311424525,0.720736860914997,2.08524196604843,0.152717873495701,0.0473541094426117,0.407293900224319,0.860755628112056,0.704306338997527,34530000,0.005,-1239.4585117204,0.00232511338676072
"9",354,0.705356124202754,29.0283751965302,0.00128358928874886,3.02519620594998,4.55118885634917,0.722031932650112,2.10228488068622,0.153981382728997,0.0472402251578098,0.405892323363573,0.892023962879596,0.700107935832132,34530000,0.005,-1239.46850347135,0.00145766643124843
"10",324,0.698642748019345,23.8714725916168,0.000197744408975999,2.98385579753733,4.59193013470818,0.712287584353114,2.50656015371737,0.150016092892211,0.0477485010992675,0.408500618784358,0.839334168935992,0.68739139508546,34530000,0.005,-1239.44362341633,0.00176818461586561
"11",597,0.742967304940203,26.175224462454,0.000518917455672483,2.96489442214641,4.67121035773341,0.721421524477094,2.27530157861219,0.151549117591175,0.0495977588062255,0.407592084856343,0.841539796490334,0.648352918221299,34530000,0.005,-1239.45592650088,0.00287951699588552
"12",462,0.732955425321988,25.6801336587086,0.000297087777461501,2.98743407179007,4.64680830948311,0.717706858359101,2.40734753422858,0.149965806316042,0.0493731657996318,0.409328528593474,0.839957020312947,0.652086726829794,34530000,0.005,-1239.44998463207,0.0018237743351433
"13",613,0.691826448428527,25.5601240511741,0.000506062400751004,3.0077758111798,4.64075007466496,0.715730526420694,2.40361684666365,0.148495490684666,0.0474643279746049,0.403644390093815,0.833790880665494,0.696560594066658,34530000,0.005,-1239.44499593988,0.00217927790299579
"14",558,0.727754930438448,26.4965639599809,0.00228883926918675,2.95065387899585,4.69887463401067,0.72268434734342,2.27016973104689,0.153361590337188,0.0485908799789041,0.40807782789373,0.888492576386343,0.666156378033962,34530000,0.005,-1239.46249636467,0.0024115943473724
"15",587,0.720692307784282,28.2101945766533,0.000516312939320958,2.98895053688765,4.66454087920812,0.71408640796447,2.09363741094156,0.151668477889414,0.0482506906886908,0.410164203646618,0.84586747474679,0.680366521268399,34530000,0.005,-1239.44417406747,0.00309111249590176
"16",71,0.721583321069495,24.4214336564246,0.00334785768090267,2.96017887342329,4.62686823439212,0.707538630736493,2.34161490419361,0.150145184977581,0.0488781981774173,0.411602784140556,0.84536552752376,0.667356854107669,34530000,0.005,-1239.47487180942,0.00233970805562659
"17",241,0.734671069121269,27.4681529787228,0.000307551495848115,3.02765668434854,4.62853238526457,0.716277968033905,2.13113467408621,0.151900522481876,0.0490720370675727,0.4087441714016,0.849448505027927,0.66266303576145,34530000,0.005,-1239.4482043273,0.00173092341423234
"18",382,0.77519960842404,29.6325038658647,0.000156637833834893,2.96096105263974,4.61085900099992,0.722302076598196,1.9548026895688,0.155291303598424,0.0503318358789948,0.410789816514116,0.877944167148266,0.633751693822885,34530000,0.005,-1239.48108990019,0.00250153172483401
"19",645,0.742641915078313,31.4542448260067,0.00188292239537926,2.98345991238729,4.63433962991316,0.722985524455479,1.96092628051954,0.155478867510626,0.0487177316433215,0.407424642124671,0.880663431937543,0.668038086391062,34530000,0.005,-1239.46982165325,0.00187506927189348
"20",173,0.719433709076909,26.6378737698327,0.000500714483571386,2.99302877820129,4.69309047934324,0.714822682438516,2.28087581429414,0.151640873292026,0.0487317383721211,0.40871918874919,0.855113858472521,0.672174387766257,34530000,0.005,-1239.44556203223,0.00199476860150522
"21",396,0.693090410351816,26.2226600347639,0.00187771957398663,2.98235674329954,4.53956967082929,0.713188222767301,2.31668578181356,0.150988391004253,0.0474256816857608,0.407010774509285,0.875858096205997,0.702720567642135,34530000,0.005,-1239.47618177558,0.00277797273177246
