"","b1","b2","b3","k1","k2","k3","mu_EI","mu_IR","rho1","rho2","rho3","eta","N","mu_RS","loglik","loglik.se"
"626",1.39844350148082,4663.39420751255,0.00501536541108685,2.97665775530705,4.41020708166355,0.694297892223534,1.17794370267379,0.141077717559546,0.0700211099668021,0.418967963657268,0.594640780915892,0.333143445236422,34530000,0.005,-1241.35692810709,0.00320153919307698
"627",0.727458152484471,20.1946441047845,0.009097915651877,3.0815508776059,4.58973370153184,0.683457954148526,3.85583905808609,0.134117066978097,0.0506897493028828,0.411339420205349,0.676992552972247,0.609557922647141,34530000,0.005,-1239.72850676934,0.00314457211460084
"628",37.4849743277272,52.9810659601862,45.5070411664655,0.357437442102811,4.98385718883881,0.389522122370782,1.99024969179789,2.07042952452997,0.188340520369587,0.452228276175467,0.588869034815789,0.813513768661646,34530000,0.005,-1317.17258632259,0.00103883491451756
"629",0.956144002627676,27.5536780960578,0.00236131529293582,3.06928893130471,4.56945501189374,0.678283010739182,2.58574131672767,0.133839611132042,0.0599066440185248,0.414438129114952,0.610402669001232,0.455647755611737,34530000,0.005,-1240.27966757385,0.00262693434810385
"630",0.752412710400799,22.4020813260272,0.0230635578922356,3.05401016925899,4.54847659406591,0.687725707014318,3.33307086179723,0.139016185811447,0.0513240403386538,0.408827798243222,0.699626396484318,0.597909945343217,34530000,0.005,-1239.7463212772,0.00241214321937015
"631",0.965551860748405,27.1972757371633,0.208567776005913,3.17650744480323,4.28622940708479,0.561267636622573,3.29598133037448,0.107456622347448,0.0645629508585453,0.422909612557009,0.375465672362498,0.418864546665214,34530000,0.005,-1243.28478357874,0.00271258975359501
"632",2.6097772690975,64.8833638787008,0.000535234907452121,2.76454517952558,4.39477782194989,0.71261667446469,1.69025269002175,0.15548275438653,0.0981444989049716,0.427134905153835,0.697999646533225,0.13257304728202,34530000,0.005,-1242.9922004012,0.00277951446800788
"633",1.89138843406642,36.8184283214964,0.00953419545597782,2.88494026950567,4.47349932527411,0.6908812117508,2.69734662513162,0.142708972603392,0.0880014838009544,0.422590048585744,0.631775917161538,0.189286878858467,34530000,0.005,-1242.281225371,0.00243519541250531
"634",1.46717562882987,33.9751559963424,0.00764825147718223,2.87802457980373,4.58183320326529,0.706113468431206,3.11503973050754,0.148541653693777,0.0771124546773197,0.416354932098802,0.745227576143768,0.265371275571417,34530000,0.005,-1241.21052968745,0.00257219050329675
"635",2.74165702355527,129.562083031494,0.00463766811977038,2.80508102195121,4.32005577769312,0.720089856313043,1.272372034583,0.154198780918001,0.0980887106306626,0.424200147464291,0.635053422831655,0.132583178629669,34530000,0.005,-1243.25529409006,0.00227368093715477
"636",1.10229794350596,34.4845973051328,0.0104716438628216,3.05604698066699,4.57072249152173,0.686833118298864,2.55672079855322,0.138645971311223,0.0649223634910073,0.416783898492457,0.653212130363859,0.385791196870027,34530000,0.005,-1240.51759051304,0.00238079390934795
"637",0.57128313371438,13.7081752001907,0.015443494417298,3.21260396025167,4.47186265167574,0.622671843209181,6.73117748444177,0.11566377400257,0.0447099188408041,0.410341205106726,0.504091081398828,0.759265009111068,34530000,0.005,-1240.83305581364,0.00346049992254087
"638",0.549743790170456,19.1844516507607,0.232754355768467,3.16603248925493,4.34892896662875,0.578516987822474,2.67910836995093,0.116815733665825,0.0426331888497049,0.413086048367912,0.434390210303329,0.858039734108196,34530000,0.005,-1242.68596631029,0.00325937138292016
"639",1.59076024105405,42.9478222973103,0.00235310208602019,2.90580448791905,4.56175228874617,0.711683588907082,2.23861938927954,0.146212746592463,0.0794170677404599,0.419023775921273,0.692006222789843,0.248153492931686,34530000,0.005,-1241.41646461706,0.00244751272252379
"640",2.39496194383647,48.8112451101386,0.00622569435431209,2.69863774950323,4.52128348412986,0.730140512332923,2.39514232498348,0.161524597034166,0.0966732112482846,0.416761320590957,0.765721792866427,0.142400128557092,34530000,0.005,-1242.67991936424,0.00215960723468237
"641",1.00638876533237,29.4467548509845,0.0446322338840944,3.1253949851921,4.46274545702944,0.658719620970538,2.20582715946283,0.128931282425419,0.0628108068888591,0.427721720049364,0.602110544826208,0.433029120416077,34530000,0.005,-1240.721631753,0.00190922141711127
"642",2.00791099811306,50.4748837201133,0.0155956268268674,2.90984338434648,4.36809924841505,0.669310571319606,2.01146031505124,0.137340200335343,0.0886894801657858,0.429281658418293,0.57167027171021,0.181040548735871,34530000,0.005,-1242.68570141634,0.00252532369701123
"643",1.18062084445672,53.0848248243422,0.00731213090374659,2.86522608327319,4.71904453400705,0.735243825605167,1.57372985910574,0.157653928935122,0.0646423181998913,0.412115130940896,0.804403252350343,0.395818836441107,34530000,0.005,-1240.29582972077,0.00225165903725224
"644",1.00036535095512,38.8250579201474,0.00595799481639718,2.98307072725746,4.63208240832712,0.706860826286327,1.84360900343494,0.146010347301098,0.0590790756846375,0.412665179702341,0.69809734290162,0.463257414421166,34530000,0.005,-1240.04420527235,0.00334318947398452
"645",0.759043817535491,25.5811580935785,0.00402788111007326,3.02787152526304,4.64182998393133,0.695983418248862,2.48123824687383,0.144244679257881,0.0508475732653518,0.407424642124671,0.756060710819287,0.616598386745316,34530000,0.005,-1239.53861467366,0.00217587125115126
"646",0.879806333732285,27.5334745227032,0.00382067093302428,3.07083678357054,4.50250545185503,0.674944153128205,2.52624058423284,0.135055231319903,0.0564505711620934,0.416881288864008,0.624461505252156,0.507617041757224,34530000,0.005,-1240.0744219809,0.00345724025810826
"647",32.9239142659358,47.1442262393815,40.1214334778337,0.363884000079218,5.02730891504581,0.40304182256593,2.2496175712543,1.76172251288118,0.166919132982178,0.450640719197869,0.524650695302806,0.496666051023464,34530000,0.005,-1316.0622420219,0.00101762292181391
"648",2.12530114012346,55.5311842693876,0.00774455058414717,2.72247960965678,4.62459974368927,0.744126741592511,1.96788868136279,0.163224326644757,0.0912573849807355,0.413380511812765,0.800062612437193,0.175802183546418,34530000,0.005,-1242.14106267788,0.00207031432110883
"649",1.54656742172308,84.874351149653,0.0133969314930901,2.97484264642972,4.45908005395563,0.696221425020234,1.21095100191553,0.143265170348057,0.0740867515096943,0.422553154973614,0.608367598557229,0.29167644805075,34530000,0.005,-1241.45781199247,0.00193034998387672
