"","X","b1","b2","b3","k1","k2","k3","mu_EI","mu_IR","rho1","rho2","rho3","eta","N","mu_RS","loglik","loglik.se"
"1",391,0.694337157731361,27.7895479439322,0.00219067418685009,2.94881459962997,4.57450553966566,0.713349395943054,2.18710992992113,0.152892530463882,0.0470087536150261,0.407204010891502,0.868771055376027,0.708567539696609,34530000,0.005,-1239.46013291183,0.00150055816952045
"2",729,0.696779406102056,25.2701309971695,0.00158802436108268,3.03068905977782,4.55748800549373,0.713498548757537,2.27763365898921,0.151306824667711,0.0477229224945391,0.40768714657861,0.847271316327042,0.698340808277422,34530000,0.005,-1239.45255341956,0.00216545657816377
"3",538,0.693665211973426,23.9992518832214,0.000369389595193681,3.00965037450175,4.61081339636848,0.705003727355255,2.64531683456478,0.147860638874297,0.048167230097338,0.407466299824338,0.842047440078023,0.684046699516794,34530000,0.005,-1239.4438138421,0.00217171652132525
"4",657,0.699846094599089,25.8183395178011,0.000564407250923519,2.98555929707501,4.59736658302135,0.714232596098648,2.44577438107343,0.148477100559366,0.0477930658400656,0.40803280540299,0.823445757006541,0.685940090109321,34530000,0.005,-1239.44196187546,0.00313425768938064
"5",376,0.73724534330182,26.8381649134691,0.00293010252024182,2.98160836969517,4.57813590609973,0.706429768742159,2.3902363365765,0.150315380026171,0.0492347429541098,0.40803657562461,0.850259621251202,0.649411146360518,34530000,0.005,-1239.47423509206,0.00245147651920563
"6",384,0.741774275379047,29.9268595183417,0.00303440960030868,2.99925551550311,4.57405197811118,0.722149665876295,2.07833268617038,0.153255108367398,0.0492090326231554,0.408995267835727,0.854550460772559,0.660428580414294,34530000,0.005,-1239.47970558822,0.00253778196085501
"7",285,0.713699111710666,29.2801597439328,0.00147598878329495,2.94978507397899,4.6073936452255,0.719092979923509,1.93474609360788,0.15549901222299,0.0476312714090783,0.408640966906336,0.872019018508426,0.7007878811869,34530000,0.005,-1239.46113296315,0.00319174230702475
"8",567,0.734819720817749,23.7661071477345,0.00137055391287776,3.01703917313166,4.59988942384035,0.705641772594076,2.70866462420818,0.149456027082972,0.0497052316659129,0.405321659301047,0.836920300234645,0.639978021261781,34530000,0.005,-1239.46121875947,0.00272501196606726
"9",354,0.698603221473063,28.4438974899052,0.000853453675249292,2.98170274540581,4.53176304006311,0.724364388450696,1.97540405455467,0.154880582089857,0.0469356940102529,0.408472356444978,0.883508983720848,0.715810391415398,34530000,0.005,-1239.47101466124,0.0021623401178855
"10",324,0.763292123435508,31.5513878501479,0.00357210554115008,2.97413350335397,4.63138984617419,0.715039663216746,1.86244150860069,0.155401883221356,0.0496775522979454,0.40842385111847,0.86176311033996,0.65070978667798,34530000,0.005,-1239.49341735458,0.00195936254756878
