"","X","b1","b2","b3","k1","k2","k3","mu_EI","mu_IR","rho","eta","N","mu_RS","loglik","loglik.se"
"1",234,1.08913084305133,808.065710827212,0.00174359262764144,1.55126695220914,2.6354583382586,0.478509137360636,3.5221853404089,0.0124216844070885,0.567216836990324,0.254360544413421,34530000,0.005,-1273.78205799736,0.00210308312953663
"2",219,9.01585935745421,51.8451376424182,36.9329147824192,1.03038215654467,4.65728353821807,0.448234185701518,0.893275539484436,0.597318956377741,0.350057511279477,0.0428045428600863,34530000,0.005,-1276.93360357708,0.00204058636565807
"3",39,9.09849027241408,52.4565921666161,37.2939370698155,1.0214488310223,4.62054939666205,0.441333616458285,0.871328437027103,0.598787475118419,0.347757059643719,0.0427688283583083,34530000,0.005,-1276.93105223218,0.00181585446097457
"4",65,9.21094688586344,52.8083833664797,37.7156162003184,1.02305338611126,4.58185531240113,0.444287901681153,0.863136332989928,0.602080446302886,0.349203775701046,0.0418798445712397,34530000,0.005,-1276.93478297764,0.0019486949122044
"5",308,9.23489315045059,52.7757730446934,37.5360412957416,1.02253875911473,4.65194501756226,0.441194011057365,0.863457007518203,0.592799194541941,0.349339176766074,0.0407805414290264,34530000,0.005,-1276.94129516152,0.00166961948967219
"6",340,9.29669768600364,54.2529559305983,38.2139390145955,1.03295594921902,4.59205015933705,0.446445923168263,0.842925557416972,0.600175795656155,0.347895775409112,0.0412915770680058,34530000,0.005,-1276.94349823599,0.00243291453776961
"7",354,9.23192442721223,52.7883801260576,37.9270335556647,1.02448352021208,4.62832389647144,0.447665827898822,0.862393161339538,0.60399393978859,0.348398370693374,0.0420233426673193,34530000,0.005,-1276.93231728043,0.00123375019480492
"8",156,8.79447676335692,50.0415302636187,36.0954415340011,1.02793187777675,4.616494898001,0.44608544795452,0.919586284394034,0.574537758652876,0.348512160525267,0.0421176764424897,34530000,0.005,-1276.93666723083,0.00180881763007049
"9",118,9.01177773323375,52.1339751520209,37.216787015692,1.02283533843539,4.62825452096761,0.446002069647581,0.879894014853183,0.584989984789696,0.349952162983546,0.0417523941763897,34530000,0.005,-1276.93776527686,0.00205932527715723
"10",40,8.92667182136403,50.4527976827705,36.5749090904529,1.02433069473826,4.62816978744711,0.445229148598042,0.905506739268901,0.587382771346028,0.349313923300923,0.0423636536285605,34530000,0.005,-1276.9293343136,0.00214377062590783
"11",81,9.33833258760325,54.0658100775168,38.2011819926491,1.02650141932119,4.59837824753903,0.44692791714434,0.852442948822784,0.605802005887137,0.349620329258045,0.041298796258873,34530000,0.005,-1276.94272238716,0.00242599273794365
"12",127,9.33597887895613,54.5162671721262,38.5171768525364,1.04451367695624,4.50976130066437,0.445499505751005,0.834696146339757,0.604940227300748,0.343467996526881,0.0418781498161951,34530000,0.005,-1276.96151408778,0.00210051892630287
"13",164,9.22145238530713,53.2174638483496,37.7434399148522,1.04085323479975,4.52631086230112,0.446222108274591,0.862320263435389,0.597405323196885,0.343974567649063,0.0415743787651811,34530000,0.005,-1276.95397421015,0.00177497006348206
"14",335,8.90461292451082,52.8313027743651,36.6934774323421,1.03750777961622,4.49062914348743,0.444885436719243,0.886221654049145,0.573301545558686,0.342424885739179,0.0417899217057501,34530000,0.005,-1276.96733190178,0.00096895057592768
"15",84,8.68881743250244,50.8188920979769,35.857256525216,1.03169554511218,4.54518883285961,0.449841969000352,0.923825900665368,0.567738069317268,0.344936723059126,0.042372119909244,34530000,0.005,-1276.94948834813,0.00220088302446185
"16",85,8.86784237630154,50.7556314102091,35.8921219585394,1.04112678882238,4.504065643723,0.444382263388154,0.910565929676249,0.574452581480856,0.343630091110283,0.0417274658214427,34530000,0.005,-1276.95384348037,0.0012980458304065
"17",228,8.98882777741995,51.0793219035102,36.331776216605,1.03676588955336,4.52460075446686,0.450079920191944,0.886685449426393,0.573498584222387,0.343543608797859,0.040809776835953,34530000,0.005,-1276.96087492098,0.00162445240436703
"18",239,9.25386843155349,55.0242241490651,38.3852956304848,1.02962962886376,4.48070210949217,0.447986227866315,0.839269098956417,0.598181462292628,0.340362266477624,0.0420539839445169,34530000,0.005,-1276.98527334248,0.00204259608697767
"19",145,9.22093255708551,47.7643717812919,36.0566326934901,0.977089569824495,4.92670768259151,0.437326139323652,0.914621740869512,0.616592756229142,0.37749518202447,0.0414932341986581,34530000,0.005,-1277.42848670316,0.00234518600168875
"20",284,9.66002032816073,51.3417440237542,37.7240322007951,0.999217177805259,4.76654910941778,0.445073448349935,0.857744936306488,0.639966121928569,0.363393894869988,0.0413063990995417,34530000,0.005,-1277.06122781367,0.00163051110573995
"21",128,9.49367422571594,51.8213142239952,36.9052798636839,1.00099036071638,4.87055985959573,0.440976941202274,0.856875485399843,0.632388754561316,0.363527952127765,0.0420775748007057,34530000,0.005,-1277.05281046641,0.00185883703357727
"22",212,9.04814267077944,49.9608293154638,36.7530489242715,0.994498593654826,4.79986045466657,0.437764087127804,0.905049837080443,0.607582474786595,0.364152639902839,0.0428313471232795,34530000,0.005,-1277.07809298289,0.00123969379503648
"23",291,9.26982422064054,49.9143678794572,36.5494798330699,1.00612378656765,4.77407316140048,0.443581642029011,0.890430454621558,0.614427245293347,0.361129113642227,0.0417420731477109,34530000,0.005,-1277.01841163029,0.00146048904810149
"24",204,9.49608834832413,50.9280936372296,37.4337393484801,0.987675515070027,4.88921816633194,0.441908061909306,0.864352960721549,0.62653165443048,0.369395712430761,0.0410437394785621,34530000,0.005,-1277.18688210281,0.00214521120683133
"25",3,9.34350912095239,49.7818075029826,37.1312335884235,0.992621138319908,4.90513179756235,0.44018565591491,0.888955247812659,0.627934519015334,0.369572397720783,0.0422125985762688,34530000,0.005,-1277.18513319535,0.00211494604752917
"26",262,9.73546184377629,50.8104281809745,37.8297765877048,0.977487670202068,4.96921388396154,0.445037842870786,0.850124890706348,0.658310111159185,0.374762460358928,0.0421061280420529,34530000,0.005,-1277.32359971605,0.00205231440033359
"27",60,9.85497694964841,51.660618501947,37.6985591861612,0.976555629265103,4.92683222156248,0.437606809375207,0.834598787901101,0.654523701469133,0.377451023266373,0.0409392771333871,34530000,0.005,-1277.4240105982,0.00182177692750135
"28",347,10.4683581000123,51.8314124938906,39.3265941102611,0.954799191838038,5.02076307159397,0.429290167140686,0.810260069229877,0.716204214355744,0.392947321959908,0.0416263203533928,34530000,0.005,-1278.07906358078,0.00239159678010989
"29",17,9.72114460807695,51.2665484104075,38.6808996504431,0.990603775090122,4.88880386482478,0.439993688265758,0.852178324211213,0.665059007850583,0.371899119224357,0.0431530713158167,34530000,0.005,-1277.24640637056,0.00141577663533385
"30",121,9.44542981355556,48.1851095483912,36.1080002314265,0.974549531836744,4.97844339843772,0.432281284590236,0.910460652267313,0.646474735083172,0.380218331158815,0.0421525904414557,34530000,0.005,-1277.51614278515,0.00212034909627167
"31",142,9.77710098035494,49.3366064126085,37.0032119989147,0.965742836110258,5.00744983659072,0.437443688736433,0.872001641385164,0.657495315153311,0.390933151375757,0.0407349987610264,34530000,0.005,-1277.98296838003,0.00207662715987725
"32",306,9.91491175531453,48.6166776118514,36.9457547797848,0.950096796443519,5.00721723133286,0.433629560028524,0.876910541938524,0.677648873539533,0.395066771271848,0.0411522051344427,34530000,0.005,-1278.17891167318,0.00273904388167626
"33",68,9.8351386775322,48.8096348111587,37.7156275964314,0.956205607999479,5.01000701197412,0.435928226393222,0.87464225599577,0.675214734131629,0.395825964482921,0.0419057789734259,34530000,0.005,-1278.22048242091,0.00191841732914958
"34",336,9.65611221579671,48.7232966887277,36.4496307842949,0.951748021621227,4.98420750117934,0.43555885993368,0.880006592072296,0.653711563629839,0.390422735021634,0.0413922629575516,34530000,0.005,-1277.95168664457,0.00316818299694969
"35",106,10.105778084778,50.7767307557746,38.3449772397313,0.963119803731922,5.00747872225365,0.437313868618959,0.837031557308025,0.685267102528609,0.387086759975664,0.0414347420692923,34530000,0.005,-1277.79414260277,0.00238244832754831
"36",332,9.78312174029142,48.8034489004985,36.4258471811689,0.953232819989753,5.03125634655204,0.434257715456552,0.874412012244944,0.655192153324125,0.396739041293967,0.0404029660558125,34530000,0.005,-1278.28528373028,0.00152391985346488
"37",374,9.91062292999094,50.6934513830718,37.740438155298,0.961910581234727,5.01459474886355,0.43586404015472,0.848677153662669,0.670076309699069,0.391067467898394,0.041191158957172,34530000,0.005,-1277.98597430307,0.00169739538464716
"38",387,9.90014578289051,48.6240257289892,36.616185601305,0.949206775912649,5.03575623586441,0.436073957433586,0.881524426267138,0.678884000989489,0.396739109651876,0.0414320839126048,34530000,0.005,-1278.27040180594,0.00193178816883981
