"","X","b1","b2","b3","k1","k2","k3","mu_EI","mu_IR","rho","eta","N","mu_RS","loglik","loglik.se"
"1",234,0.831594405329425,84938.395641832,634.822206975561,1.71850730906416,2.52360803514733,0.458245906874397,10.3356766664074,0.00509448972220618,0.999184505041031,0.345152771206706,34530000,0.005,-1273.2734197436,0.00875206452915157
"2",219,8.79494781536577,50.7754635837044,35.8132470952162,1.01929618221127,4.58959379977005,0.448087491094211,0.909656588613202,0.57276540550064,0.348858939875766,0.0423160397711013,34530000,0.005,-1276.94531149735,0.00253016681941869
"3",39,9.1406304935012,51.6805463141627,37.4059280211509,1.02412924041061,4.63276625344169,0.445090780474661,0.884180411377956,0.605800555095045,0.349724531311202,0.0427155765389967,34530000,0.005,-1276.92502579797,0.00232107782506495
"4",65,9.22629162087811,55.2065112317661,39.0040499567988,1.02936202415488,4.60727008487043,0.447875698270824,0.843820599181073,0.609751263694755,0.350759909709832,0.0431353614249378,34530000,0.005,-1276.95632971219,0.00145867757638407
"5",308,8.8926155308387,50.457446343345,37.3154842495132,1.0289867277687,4.64590334458916,0.444381827126736,0.91077432818567,0.594559299754851,0.351102782621693,0.043339613873715,34530000,0.005,-1276.93798148861,0.0018508382150274
"6",340,8.99446592226148,52.1979726612314,37.4717968093212,1.02131384523375,4.61877545428205,0.444855123191844,0.888182872889343,0.593988957926644,0.349616887303038,0.0429641814442777,34530000,0.005,-1276.93822566112,0.00152334005998652
"7",354,8.72108568069907,50.0004044421408,35.5709748486882,1.02022703883018,4.59641197997048,0.447905766651805,0.937531332051935,0.572562598895491,0.350149883150241,0.0424660364585012,34530000,0.005,-1276.94728681858,0.00115408942102096
"8",156,9.24447565095977,52.6202703575138,37.7011208310526,1.02737165940106,4.61659043654299,0.447140721994433,0.855638899962101,0.605238220948387,0.350353958116367,0.0421106208194504,34530000,0.005,-1276.9313131139,0.00187936955409541
"9",118,8.98968627797973,51.4496839672451,36.7156609592278,1.02023423895059,4.64847551635308,0.446241832067098,0.893778330574772,0.588287233099397,0.351103134216933,0.0419206971568053,34530000,0.005,-1276.93486654809,0.00197850423971288
"10",40,9.40419660281996,53.4509080386612,38.80310121939,1.01256901304212,4.68059405759584,0.440236868272107,0.858427379879249,0.631728064797583,0.351491473585756,0.043304842683299,34530000,0.005,-1276.94237053965,0.00213895997362241
"11",81,8.87219518959581,49.6595705113668,36.4565751150792,1.03123781685735,4.59072765425912,0.447984787960105,0.915100646134114,0.587424419188813,0.35003095235449,0.0427715492005421,34530000,0.005,-1276.93443005717,0.00205482535536085
"12",272,8.99982111134847,50.8016402405221,37.172073866401,1.01818265585743,4.67440677088157,0.441362030264224,0.880994896958897,0.589488617704682,0.350670439182936,0.0423664506873393,34530000,0.005,-1276.93576411138,0.00210584237675489
"13",76,9.41679431787549,54.3212139225652,39.5587447116719,1.04694815049356,4.61818549046612,0.449140058619963,0.831313482202467,0.625469585370759,0.350297364747062,0.0433855446748865,34530000,0.005,-1276.96092433826,0.00171133267866591
"14",136,9.59496041474705,55.1321838879717,38.7237509148015,1.0319058627121,4.63446138788049,0.444473111182569,0.810524368341718,0.624645067447167,0.349173104591809,0.0420535990320067,34530000,0.005,-1276.94518535174,0.00233894708357165
"15",248,8.85070954157907,51.6123282681627,36.7122300699266,1.02579199955877,4.60155508197384,0.444928045705761,0.90952899696386,0.594089341424105,0.349090733611132,0.0438758581784186,34530000,0.005,-1276.93914519552,0.0010648786428223
"16",23,9.19570913605896,52.7432713400385,38.7263602021188,1.02039792122841,4.5933448134887,0.445479356864051,0.855726768820795,0.605209102825175,0.349723842794575,0.0427685719494095,34530000,0.005,-1276.93758023603,0.00241552329795941
"17",46,9.22537399041053,51.7140027082035,36.5948630926291,1.02425026934647,4.6405163330928,0.442964108310541,0.867527536279064,0.605151470739612,0.349359999192489,0.0420746213489078,34530000,0.005,-1276.92470246848,0.00170460195084354
"18",194,8.84523059368844,51.1716962486165,35.5945041970787,1.03462279907199,4.58221969998634,0.446612910031635,0.905915036050104,0.566501513072474,0.348734754115391,0.0409213121215047,34530000,0.005,-1276.9493293297,0.00216081598459398
"19",155,9.16384993892517,52.5655416799214,37.2462834392123,1.02428041869249,4.62237030705942,0.441310797939101,0.865353274536097,0.594500780915389,0.350134160523849,0.0415182052271467,34530000,0.005,-1276.93741412751,0.00165115582798645
"20",314,8.63501193177852,50.8008160781809,35.1167699999317,1.03476194217217,4.54705348338361,0.443665838060409,0.927256693862273,0.564001137354115,0.348298302999847,0.0425937646178779,34530000,0.005,-1276.95649284051,0.00272525522340589
"21",243,9.28909198455442,53.0293198885197,37.9836695364388,1.02690159512573,4.60637794474008,0.444173029280748,0.855361687233509,0.61958893721431,0.350781018539283,0.0432690309427195,34530000,0.005,-1276.9389361036,0.0013711725485488
"22",99,8.89952031786705,51.2105531823786,36.749329678722,1.03167972043207,4.62800038776633,0.44508382536828,0.896763158828595,0.575062239378525,0.349797893058729,0.0414275161719037,34530000,0.005,-1276.94537142519,0.00146957173913937
"23",54,9.21351082491534,53.2065641278605,37.5403697079181,1.03566447638362,4.65007851139492,0.445794026993362,0.85260367498695,0.601282139032446,0.350573501196122,0.0421688716470569,34530000,0.005,-1276.94211341459,0.00213607184299065
"24",307,9.09618810970643,51.3463289386795,36.3605160299822,1.03349440820398,4.57215464857088,0.445763666667869,0.889490667687939,0.592304638137754,0.349318748080932,0.0415655713682594,34530000,0.005,-1276.9381834599,0.00194760259382212
"25",31,9.30859916145386,53.8776390631285,38.7898188740518,1.03388620655881,4.64511182209006,0.446897952227182,0.844107620008659,0.609305909057895,0.349589593830731,0.0423798843792948,34530000,0.005,-1276.9402687547,0.00134080144580189
"26",161,8.91236275711697,50.4655350169908,36.3378994426875,1.03324250541079,4.64635077875915,0.44403937614963,0.904480556598659,0.583971018031801,0.350349898558451,0.0420803024509592,34530000,0.005,-1276.934391565,0.00131383661969843
"27",324,8.71147125432963,50.309977957535,35.1847004376092,1.02567660363637,4.55527120398059,0.444774671021495,0.941055673922887,0.580276984622136,0.349090016447306,0.0432731448482146,34530000,0.005,-1276.94366999985,0.00144874452364002
"28",33,8.98837199773624,52.1354414581767,38.6329927933878,1.0249264902779,4.62974628146226,0.445828127042431,0.885468084221658,0.606138268303041,0.350678618050598,0.0443843727830068,34530000,0.005,-1276.95002569405,0.00211556364982747
"29",184,8.86978063668823,50.1981459237412,36.5592799573101,1.02377711164406,4.61541571450598,0.451444333953423,0.905151101950862,0.575246147006314,0.350365433802057,0.0415977983742216,34530000,0.005,-1276.94117942548,0.00148892811138334
"30",14,9.09825352852071,52.1991558859428,38.2325271921507,1.02599264276496,4.64597829730869,0.444211176897901,0.867743127998013,0.596637497811469,0.34954222553002,0.0424389306973468,34530000,0.005,-1276.93828250335,0.00146179399658947
"31",6,8.77143009817397,49.8874237268717,35.8226318717565,1.02665629616867,4.68475475007952,0.447861663405531,0.928533107812572,0.576503872182693,0.3500077639553,0.0423759906289884,34530000,0.005,-1276.93510478631,0.00176934512206621
"32",103,9.23984741698993,53.4345363721939,38.71460221018,1.01707068066115,4.62776552700279,0.44316467077275,0.856535890083068,0.621336807229128,0.351566819884775,0.0438812950209025,34530000,0.005,-1276.94520604225,0.00177218913045403
"33",333,8.48533282829668,49.041441307219,36.3493995449885,1.03067930373833,4.63355779147138,0.448446240501064,0.951263837970538,0.568082608212342,0.349284562936055,0.0441521161348948,34530000,0.005,-1276.95556789369,0.00218673908373442
"34",289,9.42444371646552,55.9821156596543,40.0453141235865,1.02885135385406,4.63463434482281,0.447994075741908,0.82969013399254,0.625212782447509,0.349184995772415,0.0431102720017563,34530000,0.005,-1276.94690742496,0.00143075666658233
"35",129,9.07616235840671,53.9579796477957,38.5816347578456,1.02257083329668,4.64598944987581,0.44594174598459,0.862455464523547,0.608165305931995,0.349779334519267,0.0442872496512755,34530000,0.005,-1276.94959725188,0.00230326160535853
"36",153,8.68210827984036,50.157690881232,35.3943971365047,1.02781122830593,4.61068497855855,0.446522550433921,0.932740152827215,0.563518380885056,0.349365174920561,0.0418345757709769,34530000,0.005,-1276.94353185318,0.00139270363420381
"37",250,9.05592981921069,53.1646301021053,37.4437707384884,1.02407093543463,4.61487275756201,0.441344147212853,0.880933888875693,0.603632200700609,0.349169643442187,0.043321040005887,34530000,0.005,-1276.93612845217,0.00174435826535268
"38",5,8.46737145541029,49.3206397104877,35.8332724001251,1.02154658332229,4.6536114855732,0.443525478086319,0.969378665617361,0.576628630119339,0.349273032449393,0.0449366345652802,34530000,0.005,-1276.96332067784,0.00163555026689911
"39",339,9.16719073261877,52.0241316203681,37.8433978311071,1.03728172337986,4.60938828691356,0.440917027083601,0.875246218455972,0.602498924846186,0.349387384155005,0.0422032450816309,34530000,0.005,-1276.93783206499,0.00215852266281362
"40",107,8.87569114026887,51.5400898841094,37.2545570189547,1.03173250315593,4.63787767876563,0.446206841430197,0.90160789919581,0.60371868486322,0.349002394985669,0.0449364397942366,34530000,0.005,-1276.95016394534,0.00255333263023695
"41",394,9.31430699720311,53.6833308019084,39.7819562943447,1.01957529426289,4.64111257236624,0.446405037927527,0.848945289320393,0.632764838584906,0.35137559619788,0.0445793045769702,34530000,0.005,-1276.95194703501,0.00193341216606755
"42",127,8.25126420320578,50.2340221010054,37.7902682631824,1.01981480442963,4.61197174781724,0.451706401204857,0.962484998232597,0.616066508096552,0.348249184944272,0.053014222067026,34530000,0.005,-1277.22886181086,0.00124538601619478
"43",164,8.58948697876942,53.4965470655727,40.647531724093,1.01521813262741,4.68196079247766,0.443685561253802,0.896105749693038,0.644655546128934,0.349636045410596,0.053469542784789,34530000,0.005,-1277.25806897498,0.00133811798208672
"44",335,7.05905961884545,46.8683073106304,37.3780671465336,0.992248702642641,4.55844478825592,0.446803090219613,1.11387284142513,0.575073703333243,0.348126951122042,0.0624707889415347,34530000,0.005,-1277.87002678077,0.00280325641134593
"45",84,7.17795117711252,47.1200608790783,37.8593259167253,0.995274346046412,4.66705614750965,0.444623538928748,1.08422557612674,0.589662766902095,0.34922692427559,0.0627552437804765,34530000,0.005,-1277.87612295486,0.00152004636903483
"46",85,6.73767273244314,45.3134775824854,35.5424921505038,0.992692300074316,4.65498836608424,0.449244421639697,1.17881516825119,0.555798969195294,0.347756479970316,0.06406492969425,34530000,0.005,-1277.99392118242,0.00157630376840414
"47",228,6.93620069462626,46.7472265860652,37.455748401631,0.993258937508912,4.61943321722335,0.448527652890318,1.14056441550197,0.587081921835481,0.347855649528191,0.0656657188455954,34530000,0.005,-1278.10926194276,0.00292093892164154
"48",239,5.65018205887623,41.2846926524736,33.643547303032,0.96807660973305,4.60345190753915,0.445787354250726,1.46887802630608,0.528714348998291,0.345588319329216,0.0781640082561251,34530000,0.005,-1279.24840991776,0.00282316253538115
"49",145,6.58336416387371,49.7410524623674,39.8166866012355,0.970410479977241,4.56048303560534,0.451925554008863,1.10400334041349,0.591623182575678,0.346364063452599,0.073707918678525,34530000,0.005,-1278.84803074947,0.0016329528720212
"50",284,5.71210606030025,43.3357784843255,34.7724201608117,0.949413546870292,4.55375820151638,0.453167477644622,1.37776354725628,0.540380243811072,0.34576085339093,0.0800136473126545,34530000,0.005,-1279.42687647064,0.00204341141879042
"51",128,5.90803450127795,45.3010922550719,37.7665419245364,0.954834717690927,4.5194043751314,0.446313333394404,1.26389814420619,0.564713062202705,0.345561958779618,0.0812289139898764,34530000,0.005,-1279.55605187824,0.00139554677446022
"52",212,5.65400881463033,43.5394263938312,36.1294683200556,0.950802424407563,4.51979584708544,0.448931676566833,1.38070599138751,0.539312347745199,0.34479692992485,0.0812916114780147,34530000,0.005,-1279.55694098099,0.00133993911417038
"53",291,5.31345779295604,41.7865107025602,34.4627068404064,0.937469650516048,4.54943936119952,0.448574169216611,1.49582085974183,0.527153356694463,0.345596989996473,0.0864248730165111,34530000,0.005,-1280.06148709621,0.00189818100347833
"54",204,5.22890007734047,43.4042710976072,35.1813599890386,0.935339077555101,4.50004439943258,0.444061531756536,1.42862322687848,0.52957978334172,0.345235754663169,0.0902305994285319,34530000,0.005,-1280.44682616281,0.00191367492204766
"55",3,5.01741264747119,41.5303158622229,33.2600404909729,0.922904312878086,4.43988277934503,0.446279153126786,1.54627725378111,0.527679277278939,0.343408397732522,0.0946802068030581,34530000,0.005,-1280.86461747629,0.00161829363828358
