"logLik","logLik_se","sigma_nu","mu_h","phi","sigma_eta","G_0","H_0"
4574.40050831327,0.699114136148139,0.0271035183235481,-7.54901760246839,0.913923476737944,0.942589444606032,1.46823210269213,0.220797448419035
4549.6882862886,0.894357879648455,0.00284434034204706,-2.01712972153869,0.999403292984715,8.16809290978938,-0.0325652956962586,-0.603568639606238
4500.03570987383,5.92146799960576,0.0352321696520844,0.0943053102387081,0.998121235978431,5.57088051546484,-1.78763016220182,-0.263739823363721
4544.77914849878,4.21873819557967,0.0103940299424519,-1.93233954716974,0.999999865120243,679.451431623598,0.598961906507612,-1.20062797702849
4592.85389927012,8.15443891626367,0.0544516472293033,-7.66516818556497,0.88051546256939,0.94879553716174,1.89334375411272,-1.43982273340225
4615.68884157328,0.541787838502066,1.13329598122928e-05,-7.91399719179489,0.801429023136712,1.03509578068774,0.0726845692843197,-1.53410423267633
4394.42044471169,10.5172031785905,0.0244717769200957,5.41751615342601,0.999997537714361,125.78756269554,-1.80788055900484,1.84001433569938
4495.28761112209,5.41280138286407,0.00693382643329371,-4.75826286031073,0.999960171259453,31.3912930968601,-0.815776539966465,1.43287332262844
4417.40795532883,2.92856748908973,0.0293220220965443,-4.99100269769544,0.999858381293648,16.5944347911054,1.74250779766589,0.642540303990245
4500.4234676941,0.657515269646752,0.00588666398425636,3.13450906496891,0.999695994437246,10.5242810414267,-0.487022772431374,1.68340000137687
4526.5886665023,0.837202581227771,0.0139607029922849,-7.4837574120013,0.922855889559759,1.22920475646598,-1.98775491304696,0.332258832640947
4571.1515734673,2.79889248489746,0.0265164385796895,-7.85443487427582,0.825522724527725,1.32569884644637,1.86881376802921,0.755017765797675
4548.68333885421,0.453843769989836,0.0270271555261968,2.0964009472733,0.999108300428135,6.32431963791572,-0.665069920010865,-1.52124855294823
4522.85313746025,2.43629456138007,0.00383518060990536,-4.46743189889711,0.999637037973999,8.13893964326612,0.00039968267083168,0.406783565878868
4546.94008337853,0.569421579435616,0.000246704199073338,-2.57509311366729,0.99999904102384,226.279112417037,-0.0858485717326403,0.678431238047778
4619.78476754292,0.816763147887964,0.00353758518137241,-7.7977922752263,0.757118298189595,1.00705843033406,0.0400165440514683,-1.75101306568831
4584.13318666023,3.83228535752298,0.000547603450188208,-7.73509308846667,0.695737926700592,0.951659218350146,0.317717484198511,-0.420670366846024
4498.461719412,1.0837461053074,0.041307061640222,0.495686916736087,0.999995201387591,98.9965905104695,1.13069774303585,0.660432850942015
4571.95802669477,3.47901684400064,0.0230301860381198,-7.95574128047742,0.902091229649788,0.958731965953238,1.46186543628574,1.11830016877502
4524.75272364911,1.33485434129197,0.000238572075247188,-2.10422950418741,0.999940212775352,28.3054999973994,-0.682481301017105,-1.19224851671606
