"Week","Confirmed","Recovered","Deceased","Week_Number"
2020-02-03,1,0,0,1
2020-02-10,0,0,0,2
2020-02-17,0,0,0,3
2020-02-24,0,0,0,4
2020-03-02,0,0,0,5
2020-03-09,21,0,0,6
2020-03-16,43,0,0,7
2020-03-23,135,15,1,8
2020-03-30,112,36,1,9
2020-04-06,61,123,0,10
2020-04-13,26,91,0,11
2020-04-20,67,72,1,12
2020-04-27,31,59,0,13
2020-05-04,13,88,0,14
2020-05-11,89,8,0,15
2020-05-18,246,23,2,16
2020-05-25,422,70,5,17
2020-06-01,645,213,5,18
2020-06-08,547,298,4,19
2020-06-15,711,558,2,20
2020-06-22,1017,491,1,21
2020-06-29,1240,1024,3,22
2020-07-06,2444,921,6,23
2020-07-13,4607,1276,11,24
2020-07-20,6545,3929,19,25
2020-07-27,6886,5163,21,26
2020-08-03,8420,7369,26,27
2020-08-10,10084,7062,48,28
2020-08-17,13847,8751,67,29
2020-08-24,15593,12200,64,30
2020-08-31,13986,14906,60,31
2020-09-07,20437,12948,92,32
2020-09-14,27443,17999,96,33
2020-09-21,39663,22223,142,34
2020-09-28,54502,26550,159,35
2020-10-05,59316,47327,167,36
2020-10-12,52657,53601,158,37
2020-10-19,51071,49511,171,38
2020-10-26,47200,53925,180,39
2020-11-02,45979,53642,180,40
2020-11-09,38889,45730,177,41
2020-11-16,37697,46457,180,42
2020-11-23,36905,37994,174,43
2020-11-30,36792,40253,195,44
2020-12-07,32938,34208,205,45
2020-12-14,36539,34166,193,46
2020-12-21,34647,30911,160,47
2020-12-28,35336,35048,165,48
2021-01-04,35296,36223,161,49
2021-01-11,36700,31709,161,50
2021-01-18,42430,38374,144,51
2021-01-25,38900,40656,136,52
2021-02-01,39260,42462,124,53
2021-02-08,35697,39730,118,54
2021-02-15,30522,35577,104,55
2021-02-22,24746,33522,108,56
2021-03-01,17924,26368,103,57
2021-03-08,13943,25232,96,58
2021-03-15,12958,17708,99,59
2021-03-22,13765,13717,84,60
2021-03-29,17240,13837,89,61
2021-04-05,31957,15341,115,62
2021-04-12,72234,22786,146,63
2021-04-19,166231,40838,181,64
2021-04-26,233123,112266,295,65
2021-05-03,263850,179361,409,66
2021-05-10,245339,227577,614,67
2021-05-17,199999,362107,930,68
2021-05-24,166313,218883,1283,69
2021-05-31,118803,180553,1305,70
2021-06-07,95157,131554,1235,71
2021-06-14,81155,97333,879,72
2021-06-21,79500,85009,819,73
2021-06-28,84790,79493,837,74
2021-07-05,91652,79963,870,75
2021-07-12,95601,84972,764,76
2021-07-19,110593,94664,685,77
2021-07-26,139959,112045,802,78
2021-08-02,141036,130926,910,79
2021-08-09,137598,134680,845,80
2021-08-16,124182,139013,893,81
2021-08-23,193103,142688,1047,82
2021-08-30,200430,164242,955,83
2021-09-06,167593,192069,1055,84
2021-09-13,133035,180609,1040,85
2021-09-20,121422,130756,1012,86
2021-09-27,90318,115769,768,87
2021-10-04,74594,99667,885,88
2021-10-11,59521,82404,607,89
2021-10-18,61010,69505,1727,90
2021-10-25,53326,48406,3129,91
2021-11-01,46848,51676,2035,92
2021-11-08,45567,48652,1975,93
2021-11-15,39932,47277,1745,94
2021-11-22,32705,41433,2343,95
2021-11-29,32212,33992,1762,96
2021-12-06,28684,32409,1367,97
2021-12-13,22984,29159,1536,98
2021-12-20,17533,23385,2083,99
2021-12-27,17292,19423,1527,100
2022-01-03,33128,15763,1478,101
2022-01-10,93289,23080,1241,102
2022-01-17,264266,102502,984,103
2022-01-24,340418,248603,1850,104
2022-01-31,287868,308488,4589,105
2022-02-07,136000,301057,3944,106
2022-02-14,61607,153951,1946,107
2022-02-21,28214,63205,1078,108
2022-02-28,14885,29705,957,109
2022-03-07,9009,13683,628,110
2022-03-14,6052,8548,531,111
2022-03-21,3896,5414,458,112
2022-03-28,2696,3565,277,113
2022-04-04,2185,2359,292,114
2022-04-11,1713,2006,262,115
2022-04-18,2082,1560,263,116
2022-04-25,2256,2040,193,117
2022-05-02,2590,2161,194,118
2022-05-09,2939,2425,126,119
