"","X","b1","b2","b3","k1","k2","k3","mu_EI","mu_IR","rho1","rho2","rho3","eta","N","mu_RS","loglik","loglik.se"
"1",110,1.24984977884617,2.19275186268279,9.09110661731936,1.56754635637695,6.41113781228302,2.54945396565131,1.10775971901352,0.840277036332358,0.0486520944358803,0.522187367727378,0.0937673137542205,0.997974905038635,34530000,0.005,-1233.23598183581,0.00370255378843594
"2",114,1.2814690547423,2.26141548024885,9.46020061406428,1.53819269020019,6.35136055534103,2.42296501911647,1.04781818584588,0.85824643925364,0.0484043447766605,0.521855495544409,0.0924759107371313,0.998893323124754,34530000,0.005,-1233.23281754822,0.00239692192980383
"3",254,1.30110074844043,2.283462832529,9.49957677737363,1.50938835459344,6.46529846848101,2.51050695778757,1.04126499960028,0.872879359294579,0.0487190196464418,0.527245803900172,0.0923130123722189,0.997701093243589,34530000,0.005,-1233.22969431542,0.00358346995980154
"4",57,1.29898699754717,2.27516176448437,9.41422272807642,1.51050199308031,6.44146240876923,2.47418773422706,1.07993158209939,0.861661581929226,0.0495826173193902,0.519522507176749,0.0939553272887568,0.980165469707328,34530000,0.005,-1233.30419796165,0.00385276664371362
"5",134,1.29412718446645,2.26739798517806,9.37937738578479,1.50735868864147,6.16950817872701,2.62127919028705,1.08025908010411,0.85862248496946,0.0491629875688738,0.525103377488677,0.0937479437441883,0.980988457005046,34530000,0.005,-1233.33176982079,0.00333071073791603
"6",104,1.27014683597027,2.24137033850445,9.32460388256568,1.50663177323995,6.15758877710309,2.43711251607232,1.07840754357402,0.839303111537137,0.0491912528806849,0.525016676955213,0.0928299755204089,0.985736066283347,34530000,0.005,-1233.33346325121,0.00348954622541765
"7",344,1.28619072363267,2.25221856115341,9.25500248451126,1.50417878451332,6.56833552598664,2.44939966286446,1.10166179226708,0.84549714822756,0.0494553878177731,0.522339161401717,0.093561287041342,0.972054598937106,34530000,0.005,-1233.34652374097,0.00405240306094535
"8",327,1.31852658067886,2.28955025227418,9.40314252319065,1.56793629358693,6.1779509761347,2.56548475634108,1.08172039950431,0.873288713193622,0.0497513872807461,0.521104169843504,0.0946409025024373,0.973107979538784,34530000,0.005,-1233.36988471186,0.00516067201616982
"9",193,1.30862508983419,2.27782093323727,9.29499500275954,1.53738237485068,6.38666178579175,2.40292399739748,1.0858909888942,0.847144557898442,0.0497533870073336,0.532831048165008,0.0922335545440135,0.955804858787796,34530000,0.005,-1233.5161009328,0.00463239432338436
"10",127,1.31040974800597,2.30406777008701,9.40197911885389,1.57771649309308,6.3276053273088,2.38221094600091,1.06242857731845,0.856134669781828,0.0494781071302531,0.521510921524952,0.0914120940956836,0.968842811911244,34530000,0.005,-1233.44719675578,0.004099967159626
"11",88,1.25616449837964,2.18928464101642,8.92804361548765,1.51695699712866,6.24511683720969,2.47899713721452,1.14519910709425,0.828019986273301,0.0496695046339801,0.526008005515198,0.0933610722865344,0.972857177710361,34530000,0.005,-1233.385725995,0.00476026373295203
"12",266,1.37400884668511,2.39184188089255,9.72956168795075,1.5036619200321,6.38270072806634,2.54449678377196,1.04345630578341,0.889306521403481,0.050109301653405,0.523815540203638,0.0928320658349972,0.950738061045958,34530000,0.005,-1233.54640324854,0.00355758601988492
"13",320,1.3396934777385,2.3137558124615,9.3855390870452,1.4880756852627,6.37731212896006,2.54811839021846,1.10116168674558,0.874582049175742,0.0511225387321359,0.525598234441058,0.0939141134310439,0.951464354560501,34530000,0.005,-1233.49370843796,0.0037698118866851
"14",63,1.33029440769538,2.2939993024086,9.21560654645266,1.5325772666698,6.17089847148631,2.46702420639206,1.12967505453356,0.850222287765522,0.0514418893966411,0.526528566480874,0.092883404265217,0.931833291738831,34530000,0.005,-1233.64752424869,0.00300924521789769
"15",103,1.37013576360769,2.35918671517617,9.41788812647248,1.47994554508036,6.39094422029016,2.55427459812734,1.11133967190888,0.867322263097462,0.0518713404744815,0.5240301663016,0.0940439000735105,0.919428553811234,34530000,0.005,-1233.68849754388,0.00276422847642658
"16",99,1.36847851503184,2.3973416582829,9.79858237018793,1.52473731640377,6.2848306705193,2.63251133845787,1.01818021849858,0.90889932661164,0.0490241321425085,0.519016769481307,0.0930143420812752,0.977712083032038,34530000,0.005,-1233.38376574661,0.00544211409239596
"17",102,1.387858775822,2.38948801672972,9.66611912918946,1.562980644947,6.42211714114142,2.57548421468328,1.06262284859612,0.895073959057027,0.05099013874367,0.52837726961739,0.0946928842424854,0.938045090821116,34530000,0.005,-1233.58872674825,0.0036283852695988
"18",355,1.33686292030584,2.32202448789238,9.40860811534545,1.50580304547155,6.22360959387809,2.52809654028916,1.10002468109766,0.852616144674608,0.0514228732351453,0.519710425922348,0.0936027878928821,0.935252492099099,34530000,0.005,-1233.61682831726,0.00262336845294492
"19",95,1.37329499193066,2.36345960491299,9.42349302439066,1.50067179007552,6.35819410653043,2.57292036989051,1.09541364890222,0.882176760601834,0.0513099605275652,0.52464825325481,0.0930269520808968,0.932799447188628,34530000,0.005,-1233.58918877774,0.00237763870978766
"20",97,1.44380807015053,2.47365197257459,9.7823270745497,1.52211762933754,6.27223123867665,2.66199453756009,1.06428774787988,0.910827635485111,0.0525545570726286,0.523021639820347,0.0945557203664383,0.908570849418752,34530000,0.005,-1233.80580070156,0.00382869497560687
"21",89,1.44880070562389,2.47346076219681,9.72324556690432,1.46201066041885,6.31730638456774,2.60652435412344,1.08664629951461,0.924432893774051,0.0522575507343955,0.519252281023261,0.0961730974926807,0.912363878810491,34530000,0.005,-1233.77181000457,0.00454042967100442
"22",174,1.40945925866643,2.38398786888976,9.28368239970518,1.48832926643611,6.14670924275914,2.5341968181649,1.15708928032573,0.881732359541038,0.0533525774518722,0.526953722576683,0.0949938774718641,0.892499769544951,34530000,0.005,-1233.91978596724,0.00320222241024922
"23",71,1.36060432506453,2.32919822600706,9.18472682007856,1.49700444496485,6.353175300199,2.47919228639175,1.15373761681212,0.86660547316304,0.052205170360576,0.525519389921825,0.0948133837911506,0.917226249859523,34530000,0.005,-1233.7341915565,0.00336344063074493
"24",317,1.3828693532967,2.38469471597681,9.58915379506671,1.5065365497217,6.42788016360002,2.55278474689197,1.08304922345534,0.872293111476806,0.0515052037858075,0.531267584473979,0.0943080781628721,0.919403177343607,34530000,0.005,-1233.73784360676,0.00427697224045477
"25",240,1.45813830775521,2.48733527897393,9.82854549400677,1.48781323291017,6.20899012784372,2.53973934758238,1.07099216335938,0.912263747625048,0.0533443737915311,0.524945168065682,0.095657057721847,0.89807833693483,34530000,0.005,-1233.90412363271,0.00463096862980505
"26",109,1.45855275506313,2.47017379567861,9.71841704416839,1.51532537972393,6.31753026982248,2.52455220907992,1.10190418293642,0.90135688959636,0.0539065981736489,0.529496958096769,0.095757588779163,0.881823073768278,34530000,0.005,-1234.03123259314,0.00267649943175012
"27",328,1.46117622583345,2.45667427179846,9.45782569137752,1.4805349797588,6.36000191932042,2.65926846752341,1.15146124471132,0.89914965838994,0.0546024888738525,0.527433806842588,0.0964649638586406,0.870693431827533,34530000,0.005,-1234.10141516994,0.00399494579846139
"28",141,1.43367574612499,2.45418125608297,9.74207969579138,1.50675174186905,6.36029521704115,2.55316753947749,1.08729641398226,0.911476317213383,0.05193793316366,0.523918649420214,0.096577179089431,0.912037446835457,34530000,0.005,-1233.746450018,0.00440215137857134
"29",323,1.41961867002392,2.41607375603137,9.47110460607169,1.47102098830668,6.24466833475346,2.62569413867495,1.13559582065242,0.887296251221638,0.0537408071905162,0.525945610076064,0.0957570645931901,0.892352485827203,34530000,0.005,-1233.93486430719,0.00412393485375142
"30",399,1.38625582991384,2.37241118039597,9.39227290851773,1.42925733345454,6.19774629092938,2.54433599796515,1.12719708640176,0.874240475319837,0.0524439521847564,0.521466345193394,0.0945134857831861,0.90961012880363,34530000,0.005,-1233.77902445123,0.00341973766548671
"31",124,1.45374976024765,2.46128817769944,9.50737766187369,1.50700165438633,6.56730570359133,2.55309171387439,1.11991570671786,0.912830181200698,0.0537821921372074,0.520481514161888,0.0954745076506438,0.891303320109288,34530000,0.005,-1233.93491598764,0.00413514029330041
"32",333,1.28462759908635,2.24191327113119,9.18195826288146,1.52230368459009,6.14771184479058,2.54440866572336,1.11249959742124,0.843781733389801,0.0500444288714375,0.522428021381339,0.0937176188370736,0.969577693066679,34530000,0.005,-1233.38035628373,0.00339743223139299
"33",157,1.42716421700684,2.42744423947264,9.55840164747365,1.48444107408068,6.2319200770541,2.54958962568898,1.11269514995987,0.891518611117386,0.0531570805265833,0.52375586542696,0.0954826373301383,0.895427898373461,34530000,0.005,-1233.87499722629,0.00403769251942396
"34",260,1.50707566777808,2.55549504327379,9.97661773540296,1.44234752172989,6.40103442807761,2.60136615521582,1.07148718662896,0.940687446194976,0.0538709196810281,0.526034064451852,0.0979008243019593,0.886275388995271,34530000,0.005,-1234.00647450487,0.00211578032434778
"35",86,1.41742711049445,2.39808123063249,9.33234753539393,1.48460525808536,6.2103706602375,2.5476244351729,1.16816929384752,0.885571888374206,0.053777435416968,0.521685864665615,0.0972876438198201,0.88772679748409,34530000,0.005,-1233.95181817914,0.00274855890036089
"36",152,1.47578583800715,2.48220970521834,9.52255948928162,1.44680359646497,6.11294574193589,2.73739905584749,1.1451361223567,0.89839294144717,0.0550586339339454,0.52722551680539,0.0951053755492194,0.860030300018601,34530000,0.005,-1234.21797533353,0.00378895668420732
"37",275,1.38033643317429,2.365468548277,9.43085879540846,1.52053493800091,6.39169094919125,2.65009797905675,1.10755058670048,0.873035919332917,0.0516049909145431,0.52549208998547,0.0946173725822266,0.916214704701338,34530000,0.005,-1233.70431124605,0.00359291915119634
"38",319,1.47121555159439,2.5008482835203,9.69582211661315,1.50715500045649,6.253274644875,2.58255156123267,1.12139129119036,0.922501850356145,0.0538966747260317,0.512403998658628,0.0970886015234641,0.886976852296513,34530000,0.005,-1233.98033955102,0.00498669477510936
"39",41,1.49543597800858,2.55006561544886,10.0839006694535,1.482807236486,6.26910329360647,2.56959847921728,1.05956095039854,0.946908739254429,0.0533703876038214,0.519416611108985,0.0972993574010894,0.901742323811422,34530000,0.005,-1233.89055572314,0.00333473048340497
"40",370,1.47814537508362,2.50184536501556,9.80382116316264,1.52502877324097,6.36710861611677,2.43549874328509,1.09638500297072,0.915381054066014,0.0542054452597332,0.524335578449353,0.0967063094506907,0.880840745590223,34530000,0.005,-1234.06701670116,0.00531870828128467
"41",4,1.52691227885685,2.58208732175788,10.0702550978866,1.44003351206669,6.18383712150989,2.63679329405761,1.06381116586892,0.947901374379283,0.0545541631864691,0.523615298535168,0.0969715265659733,0.87866829426237,34530000,0.005,-1234.06984246267,0.00347088646437248
"42",200,1.25142108598683,2.17246221953787,8.83321584380033,1.51319601883747,6.34076206442641,2.44087726271667,1.18650054213382,0.813535356888591,0.0507929725976063,0.522871208349424,0.0930307351493669,0.95660834272712,34530000,0.005,-1233.50129745935,0.00327373715693155
"43",230,1.51895911904188,2.57675575735014,9.9339277613977,1.42204115921616,6.18378583094604,2.59395527879873,1.09217085787523,0.933768151631871,0.0541421231744672,0.517942937271812,0.0968718747287666,0.867562556186125,34530000,0.005,-1234.14826059423,0.00305325142384275
"44",357,1.17498027875019,2.05204806584226,8.41695859296435,1.57642712744216,6.14769425283691,2.43712536509963,1.22650999151319,0.757646897151893,0.0499960357258939,0.529494970180604,0.089578675113806,0.966988890052146,34530000,0.005,-1233.6445016851,0.00259245716331276
"45",208,1.50699182501112,2.56774215306262,9.9935591346796,1.42523116416128,6.1685189254463,2.62079402540513,1.07399906731075,0.936665129276277,0.0534622256536962,0.51863422422293,0.0974563991939204,0.882287358638239,34530000,0.005,-1234.02377949961,0.0025624516750389
